FileName,instrumental_intensity
AIC0011007210619,2.44
AIC0011112141301,2.87
AIC0011205051857,1.97
AIC0011302061342,1.2
AIC0011308030956,1.55
AIC0011409141557,1.22
AIC0011412032319,1.8
AIC0011503040004,2.87
AIC0011706250702,1.97
AIC0011804141513,1.1
AIC0011806180758,2.99
AIC0011810071014,1.96
AIC0021007210619,2.09
AIC0021102270538,1.33
AIC0021103152231,1.99
AIC0021112141301,2.62
AIC0021302061342,1.16
AIC0021409141557,1.19
AIC0021412032319,2.05
AIC0021503040004,2.73
AIC0021706250702,2.19
AIC0021804141513,1.35
AIC0021806180758,2.13
AIC0021810071014,1.96
AIC0031112141301,2.59
AIC0031205051857,1.59
AIC0031302061342,1.22
AIC0031412032319,1.35
AIC0031503040004,2.85
AIC0031706250702,2.26
AIC0041001100144,1.15
AIC0041007210619,2.74
AIC0041112141301,2.6
AIC0041205051857,1.83
AIC0041302061342,1.19
AIC0041308030956,2.11
AIC0041501081202,0.53
AIC0041503040004,1.94
AIC0041604251000,1.19
AIC0041706250702,2.19
AIC0041804141513,2.56
AIC0041810071014,2.17
AIC0051103152231,1.58
AIC0051108012358,1.42
AIC0051112141301,2.35
AIC0051205051857,1.52
AIC0051302061342,1.88
AIC0051308030956,1.48
AIC0051412032319,1.52
AIC0051501081202,0.93
AIC0051503040004,1.61
AIC0051706250702,1.6
AIC0051804141513,1.9
AIC0051810071014,2.15
AIC0061103152231,2.92
AIC0061112141301,3.27
AIC0061206090407,1.59
AIC0061412032319,1.78
AIC0061501081202,2.63
AIC0061503040004,2.8
AIC0061604251000,3
AIC0061706250702,2.89
AIC0061810071014,3.3
AIC0081001100144,1.25
AIC0081103152231,1.78
AIC0081112141301,3.63
AIC0081205051857,2.08
AIC0081206090407,1.24
AIC0081302151818,0.96
AIC0081308030956,2.7
AIC0081411222208,1.9
AIC0081412032319,2.22
AIC0081501081202,2.42
AIC0081503040004,2.34
AIC0081509082022,1.28
AIC0081604251000,1.94
AIC0081706250702,2.79
AIC0081804141513,1.98
AIC0081806180758,1.7
AIC0081810071014,2.79
AIC0091001100144,1.57
AIC0091007210619,2.47
AIC0091008260554,1.54
AIC0091102270538,2.32
AIC0091103152231,2.9
AIC0091108012358,2.59
AIC0091112141301,3.18
AIC0091205051857,1.68
AIC0091302061342,1.66
AIC0091308030956,2.83
AIC0091411222208,2.1
AIC0091412032319,1.98
AIC0091503040004,2.05
AIC0091604251000,1.94
AIC0091706250702,2.38
AIC0091804141513,2.58
AIC0091806180758,2.69
AIC0091810071014,2.96
AIC0101001100144,2.05
AIC0101008260554,1.65
AIC0101102270538,1.87
AIC0101103152231,2.97
AIC0101108012358,2.64
AIC0101108120437,1.81
AIC0101112141301,2.98
AIC0101205051857,2.16
AIC0101206090407,0.79
AIC0101308030956,3.12
AIC0101411222208,2.31
AIC0101412032319,1.71
AIC0101501081202,2.3
AIC0101503040004,2.04
AIC0101604251000,2.19
AIC0101706250702,2.61
AIC0101706250924,1.51
AIC0101802131439,1.02
AIC0101804141513,1.98
AIC0101806180758,2.23
AIC0101810071014,2.86
AIC0111001100144,1.44
AIC0111007210619,3.1
AIC0111112141301,3.54
AIC0111205051857,2.69
AIC0111308030956,2.42
AIC0111412032319,1.84
AIC0111503040004,2.46
AIC0111604251000,1.37
AIC0111706250702,2.69
AIC0111804141513,2.57
AIC0111810071014,2.38
AIC0121001100144,1.48
AIC0121007210619,2.21
AIC0121103152231,2.85
AIC0121112141301,2.83
AIC0121205051857,1.74
AIC0121302061342,1.32
AIC0121308030956,2.26
AIC0121412032319,1.45
AIC0121604251000,1.42
AIC0121706250702,1.82
AIC0121804141513,3.18
AIC0121806180758,2.53
AIC0131001100144,1.45
AIC0131008260554,1
AIC0131103152231,1.83
AIC0131108012358,2.48
AIC0131108120437,0.99
AIC0131112141301,1.79
AIC0131205051857,1.66
AIC0131308030956,3.22
AIC0131501081202,1.65
AIC0131503040004,1.08
AIC0131604251000,0.87
AIC0131706250702,1.44
AIC0131804141513,1
AIC0131810071014,1.91
AIC0141001100144,1.38
AIC0141103152231,2.15
AIC0141108012358,1.64
AIC0141112141301,2.64
AIC0141205051857,1.95
AIC0141302061342,0.85
AIC0141412032319,1.4
AIC0141501081202,1.09
AIC0141503040004,1.43
AIC0141706250702,1.79
AIC0141804141513,3.28
AIC0141806180758,2.25
AIC0141810071014,2.09
AIC0151001100144,1.57
AIC0151008260554,0.96
AIC0151103152231,2.63
AIC0151108120437,1.65
AIC0151112141301,2.52
AIC0151205051857,2.19
AIC0151308030956,3.87
AIC0151501081202,0.93
AIC0151503040004,1.32
AIC0151604251000,1.76
AIC0151804141513,1.85
AIC0151810071014,2.9
AIC0161205051857,2.23
AIC0161308030956,2.09
AIC0161412032319,2.13
AIC0161503040004,1.84
AIC0161804141513,2.94
AIC0161806180758,2.89
AIC0161810071014,2.38
AIC0171001100144,1.18
AIC0171008260554,1.04
AIC0171103152231,2.5
AIC0171108012358,1.81
AIC0171108120437,1.08
AIC0171112141301,1.88
AIC0171205051857,1.69
AIC0171308030956,2.64
AIC0171501081202,1.08
AIC0171503040004,0.96
AIC0171804141513,1.54
AIC0171806180758,2
AIC0171810071014,1.84
AIC0181205051857,1.01
AIC0181308030956,1.89
AIC0181611191148,1.68
AIC0181804141513,1.18
AIC0181810071014,1.35
AKT0011103120447,2.62
AKT0011103171314,1.62
AKT0011106041233,1.56
AKT0011106230651,2.76
AKT0011108012244,1.59
AKT0011203272000,2.94
AKT0011204300002,1.7
AKT0011205240002,1.85
AKT0011210060119,2.12
AKT0011305160846,1.6
AKT0011307101422,1.68
AKT0011409101009,1.52
AKT0011502171346,1.66
AKT0011507100333,2.35
AKT0011601111526,1.19
AKT0011605241848,0.44
AKT0011607162212,3.13
AKT0011611021433,1.79
AKT0011709082223,1.54
AKT0011709270522,1.96
AKT0011801241951,1.88
AKT0011805070501,0.85
AKT0021007050656,2.35
AKT0021103120447,2.93
AKT0021103171314,2.1
AKT0021104011949,4.05
AKT0021105272233,1.12
AKT0021106041233,1.86
AKT0021106230651,3.29
AKT0021108012244,1.94
AKT0021203272000,3.24
AKT0021205240002,2.66
AKT0021210060119,2.06
AKT0021406150231,1.68
AKT0021407050742,2.11
AKT0021502171346,2.41
AKT0021507100333,2.34
AKT0021607162212,2.61
AKT0021611021433,1.82
AKT0021701282240,1.21
AKT0021709082223,2.37
AKT0021709270522,2.05
AKT0031008311130,1.94
AKT0031103120447,3.32
AKT0031103171314,1.42
AKT0031104011949,4.7
AKT0031105272233,0.9
AKT0031106041233,2.4
AKT0031210060119,1.57
AKT0031305160846,1.1
AKT0031507100333,1.72
AKT0031607162212,2.01
AKT0031611021433,0.55
AKT0031707241115,0.76
AKT0031709082223,2.01
AKT0031709270522,1.74
AKT0031805060715,1.71
AKT0041008311130,1.95
AKT0041104011949,1.7
AKT0041707241115,1.3
AKT0041810292329,1.06
AKT0051008311130,2.35
AKT0051103120447,3.76
AKT0051104011949,3.18
AKT0051106041233,1.16
AKT0051210060119,1.88
AKT0051406150231,1.39
AKT0051707241115,2.07
AKT0051810292329,0.99
AKT0061103112037,3.28
AKT0061103120447,3.54
AKT0061103122343,2.28
AKT0061103171314,1.93
AKT0061103241721,2.14
AKT0061104011949,3.97
AKT0061106041233,2.22
AKT0061106230651,3.12
AKT0061108012244,1.77
AKT0061203272000,3.44
AKT0061207300705,1.79
AKT0061210060119,2.64
AKT0061305160846,1.54
AKT0061307101422,1.84
AKT0061406150231,1.53
AKT0061407050742,1.86
AKT0061408070505,1.3
AKT0061409101009,1.69
AKT0061502171346,2
AKT0061505130613,2.58
AKT0061507100333,2.63
AKT0061601111526,1.25
AKT0061607162212,3.03
AKT0061611021433,1.62
AKT0061709082223,1.32
AKT0061709270522,2.09
AKT0061801241951,2.13
AKT0061805070501,1.36
AKT0071103120447,3.92
AKT0071104011949,3.17
AKT0071106041233,1.92
AKT0081008311130,1.83
AKT0081103120447,3.71
AKT0081104011949,2.27
AKT0081210060119,1.78
AKT0081707241115,1.75
AKT0091008311130,2.53
AKT0091103120447,3.8
AKT0091707241115,1.89
AKT0101008311130,1.95
AKT0101103120447,3.81
AKT0101104011949,1.59
AKT0101104190414,1.35
AKT0101210060119,2.08
AKT0101507100333,2.07
AKT0101709082223,1.75
AKT0111003010708,1.18
AKT0111007040433,1.82
AKT0111007050656,1.9
AKT0111103112037,2.98
AKT0111103120447,3.19
AKT0111103121953,2.13
AKT0111103122343,2.29
AKT0111103241721,2.28
AKT0111103252036,2.1
AKT0111103261918,0.95
AKT0111103311615,2.25
AKT0111104011949,2.68
AKT0111104012058,1.67
AKT0111104190414,2.3
AKT0111105272233,2.9
AKT0111106230651,2.36
AKT0111106231935,1.52
AKT0111107121800,1.12
AKT0111107231334,2.39
AKT0111108302244,1.48
AKT0111109181228,1.5
AKT0111111100743,1.43
AKT0111207300705,2.14
AKT0111210060119,3.45
AKT0111212040531,2.16
AKT0111212211707,1.77
AKT0111304172103,2.11
AKT0111404030822,2.32
AKT0111406081424,1.63
AKT0111406150231,2.46
AKT0111407050742,1.57
AKT0111505130613,2.83
AKT0111507100333,1.69
AKT0111610161637,1.77
AKT0111611021433,2.53
AKT0111611120643,2.29
AKT0111701282240,1.29
AKT0111707241115,1.1
AKT0111709082223,3.76
AKT0111805070501,1.23
AKT0121103112037,3.05
AKT0121103120447,2.65
AKT0121103121953,2.26
AKT0121103122343,2.42
AKT0121103241721,2.22
AKT0121103252036,1.68
AKT0121103311615,2.03
AKT0121104011949,1.17
AKT0121104012058,1.67
AKT0121104190414,1.34
AKT0121105272233,2.72
AKT0121106230651,2.69
AKT0121107231334,2.12
AKT0121111100743,0.67
AKT0121203272000,3.3
AKT0121204300002,1.7
AKT0121206180532,1.87
AKT0121208300405,1.1
AKT0121210060119,1.93
AKT0121212040531,1.27
AKT0121304172103,1.36
AKT0121307101422,2.04
AKT0121404030822,1.9
AKT0121406150231,1.31
AKT0121505130613,2.58
AKT0121611021433,0.99
AKT0121709082223,1.89
AKT0131003010708,0.98
AKT0131103121953,1.78
AKT0131103241721,2.51
AKT0131103311615,1.77
AKT0131104011949,1.53
AKT0131104012058,1.54
AKT0131104190414,3.72
AKT0131105272233,1.66
AKT0131107231334,1.9
AKT0131109181228,1.89
AKT0131111100743,1.8
AKT0131203272000,2.43
AKT0131206180532,1.83
AKT0131404030822,1.74
AKT0131406150231,1.7
AKT0131505130613,2.47
AKT0131611120643,1.28
AKT0131709082223,2.93
AKT0131805070501,1.28
AKT0141003010708,1.62
AKT0141007050656,2.02
AKT0141103112037,3.16
AKT0141103241721,2.59
AKT0141103252036,1.84
AKT0141103311615,2.3
AKT0141104012058,1.9
AKT0141104190414,2.83
AKT0141105272233,4.18
AKT0141106230651,2.55
AKT0141109181228,2.26
AKT0141203272000,3.22
AKT0141204300002,1.55
AKT0141206180532,2.03
AKT0141208300405,1.17
AKT0141210060119,1.83
AKT0141212040531,3.54
AKT0141307101422,2.08
AKT0141404030822,2.24
AKT0141406081424,1.57
