FileName,real_PGV_UD_1,real_PGV_UD_2,real_PGV_UD_3,real_PGV_UD_4,real_PGV_UD_5,real_PGV_UD_6,real_PGV_UD_7,real_PGV_UD_8,real_PGV_UD_9,real_PGV_UD_10,real_PGV_UD_11,real_PGV_UD_12,real_PGV_UD_13,real_PGV_UD_14,real_PGV_UD_15,real_PGV_UD_16,real_PGV_UD_17,real_PGV_UD_18,real_PGV_UD_19,real_PGV_UD_20
AIC0011903090108,0.211584498615831,0.211584498615831,0.211584498615831,0.211584498615831,0.211584498615831,0.215237353883727,0.215237353883727,0.215237353883727,0.215237353883727,0.215237353883727,0.215237353883727,0.215237353883727,0.215237353883727,0.215237353883727,0.215237353883727,0.215237353883727,0.215237353883727,0.215237353883727,0.215237353883727,0.215237353883727
AIC0012009271313,0.117418489097328,0.117418489097328,0.117418489097328,0.117418489097328,0.117418489097328,0.117418489097328,0.117418489097328,0.117418489097328,0.117418489097328,0.117418489097328,0.117418489097328,0.117418489097328,0.205681240309125,0.205681240309125,0.205681240309125,0.205681240309125,0.205681240309125,0.205681240309125,0.205681240309125,0.205681240309125
AIC0012010190328,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738,0.128517433375738
AIC0021903090108,0.0997566189321128,0.0997566189321128,0.0997566189321128,0.0997566189321128,0.0997566189321128,0.199788051587543,0.199788051587543,0.199788051587543,0.199788051587543,0.199788051587543,0.199788051587543,0.199788051587543,0.199788051587543,0.199788051587543,0.199788051587543,0.199788051587543,0.199788051587543,0.199788051587543,0.199788051587543,0.199788051587543
AIC0022009271313,0.131415873953299,0.131415873953299,0.131415873953299,0.131415873953299,0.131415873953299,0.131415873953299,0.131415873953299,0.131415873953299,0.131415873953299,0.131415873953299,0.140053446380004,0.274990987857367,0.274990987857367,0.274990987857367,0.274990987857367,0.274990987857367,0.274990987857367,0.274990987857367,0.274990987857367,0.274990987857367
AIC0031903090108,0.0410993250763875,0.0415225149463526,0.0415225149463526,0.0415225149463526,0.0415225149463526,0.152810262052644,0.152810262052644,0.152810262052644,0.152810262052644,0.152810262052644,0.152810262052644,0.152810262052644,0.152810262052644,0.152810262052644,0.152810262052644,0.152810262052644,0.152810262052644,0.152810262052644,0.152810262052644,0.152810262052644
AIC0032006171503,0.0240559477787441,0.0240559477787441,0.0240559477787441,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362,0.0841039963153362
AIC0032010190328,0.0492450294064814,0.0492450294064814,0.0492450294064814,0.0492450294064814,0.127147051860348,0.130723433681415,0.130723433681415,0.130723433681415,0.130723433681415,0.130723433681415,0.130723433681415,0.130723433681415,0.130723433681415,0.130723433681415,0.130723433681415,0.130723433681415,0.130723433681415,0.130723433681415,0.130723433681415,0.130723433681415
AIC0041903090108,0.140597011325141,0.140597011325141,0.140597011325141,0.140597011325141,0.140597011325141,0.140597011325141,0.140597011325141,0.353486097884737,0.523192291416722,0.523192291416722,0.523192291416722,0.523192291416722,0.523192291416722,0.523192291416722,0.523192291416722,0.523192291416722,0.523192291416722,0.523192291416722,0.523192291416722,0.523192291416722
AIC0042009271313,0.10506982252106,0.109280323853784,0.109280323853784,0.109280323853784,0.109280323853784,0.109280323853784,0.109280323853784,0.109280323853784,0.109280323853784,0.109280323853784,0.192571346551616,0.192571346551616,0.192571346551616,0.192571346551616,0.192571346551616,0.192571346551616,0.192571346551616,0.192571346551616,0.192571346551616,0.192571346551616
AIC0042010190328,0.0780327012369998,0.0780327012369998,0.0780327012369998,0.0780327012369998,0.0780327012369998,0.0880684325791122,0.200774844670099,0.200774844670099,0.200774844670099,0.200774844670099,0.200774844670099,0.200774844670099,0.200774844670099,0.200774844670099,0.200774844670099,0.200774844670099,0.200774844670099,0.200774844670099,0.200774844670099,0.200774844670099
