FileName,real_DI_1,real_DI_2,real_DI_3,real_DI_4,real_DI_5,real_DI_6,real_DI_7,real_DI_8,real_DI_9,real_DI_10,real_DI_11,real_DI_12,real_DI_13,real_DI_14,real_DI_15,real_DI_16,real_DI_17,real_DI_18,real_DI_19,real_DI_20
IBR0062002062019,-4.08971299455618,-3.04476843745652,-1.42462060827662,-1.38513270594453,-1.34937612969637,-1.34937612969637,-1.34937612969637,-1.34937612969637,-0.45428585180658,-0.45428585180658,-0.45428585180658,-0.449082294442896,-0.428528395533817,-0.428528395533817,-0.428528395533817,-0.428528395533817,1.1265949361978,1.89464200286865,1.89464200286865,1.89464200286865
IBR0062002121937,-1.64669313052838,-1.22024994899598,-0.984716136932392,-0.984716136932392,-0.984716136932392,-0.984716136932392,-0.984716136932392,-0.984716136932392,-0.863333343249991,-0.362074656295303,-0.362074656295303,-0.362074656295303,-0.362074656295303,-0.0555686434339465,0.0737132652615013,0.0737132652615013,2.44393787785499,4.23494733009612,4.23494733009612,4.23494733009612
IBR0062002171240,-1.91378469018621,-1.91378469018621,-1.91378469018621,-1.91378469018621,-1.91378469018621,-1.91378469018621,-1.91378469018621,0.549675787388273,0.549675787388273,0.549675787388273,0.549675787388273,0.549675787388273,0.549675787388273,0.549675787388273,0.549675787388273,0.549675787388273,0.549675787388273,0.549675787388273,0.549675787388273,0.549675787388273
IBR0062002232112,-4.08720511469164,-3.43286109405232,-3.34591320329084,-3.34591320329084,-2.86091640326952,-2.86091640326952,-2.86091640326952,-2.86091640326952,-2.86091640326952,-1.53642933363078,-1.53642933363078,-1.53642933363078,-1.53642933363078,-1.53642933363078,-1.53642933363078,-1.53642933363078,-1.53642933363078,-1.53642933363078,-1.53642933363078,-1.53642933363078
IBR0062003312024,-1.00578346485634,-1.00578346485634,-1.00578346485634,-1.00578346485634,-1.00578346485634,-0.616162240348324,-0.314268306099515,-0.314268306099515,3.05823927556135,3.05823927556135,3.05823927556135,3.05823927556135,3.05823927556135,3.05823927556135,3.05823927556135,3.05823927556135,3.05823927556135,3.05823927556135,3.05823927556135,3.05823927556135
IBR0062004100045,-3.5401781407543,-2.78972255043041,-2.78972255043041,-2.78972255043041,-2.66396615754382,-2.51343786036301,-2.51343786036301,-2.20077410797719,1.41216470212003,1.41216470212003,1.41216470212003,1.41216470212003,1.41216470212003,1.41216470212003,1.41216470212003,1.41216470212003,1.41216470212003,1.41216470212003,1.41216470212003,1.41216470212003
IBR0062004120044,3.21245570401342,3.21245570401342,3.21245570401342,3.21245570401342,3.21245570401342,3.21245570401342,3.21245570401342,3.21245570401342,6.2223996964247,6.2223996964247,6.2223996964247,6.2223996964247,6.2223996964247,6.2223996964247,6.2223996964247,6.2223996964247,6.2223996964247,6.2223996964247,6.2223996964247,6.2223996964247
IBR0062004231226,-3.12327306663554,-3.12327306663554,-3.12327306663554,-3.062188198057,-3.062188198057,-3.062188198057,-3.062188198057,-3.062188198057,-3.062188198057,-1.26558396929015,-0.713822826477086,-0.430085903392451,-0.430085903392451,-0.430085903392451,-0.430085903392451,-0.430085903392451,-0.430085903392451,-0.430085903392451,-0.430085903392451,-0.430085903392451
IBR0062004240138,-3.86688275565716,-3.74622821490686,-3.74622821490686,-3.55956881248247,-3.55956881248247,-3.55956881248247,-3.44531171212546,-3.21894233860832,-1.39252108193316,-1.39252108193316,-1.39252108193316,-1.39252108193316,-1.39252108193316,-1.39252108193316,-1.39252108193316,-1.39252108193316,-1.39252108193316,-1.39252108193316,-1.39252108193316,-1.39252108193316
IBR0062004260949,0.786151743750099,0.786151743750099,0.786151743750099,0.786151743750099,0.786151743750099,0.786151743750099,0.786151743750099,0.786151743750099,0.786151743750099,0.901445238720647,0.901445238720647,0.901445238720647,1.18099793014095,1.18099793014095,1.18099793014095,1.18099793014095,1.18099793014095,1.18099793014095,1.18099793014095,1.18099793014095
IBR0062005042207,-6.19201822989023,-3.14884659531662,-3.14884659531662,-2.11598771917455,-1.89231487472158,-1.89231487472158,-1.68760113184753,-1.68760113184753,-1.57390297149312,-1.25707812770713,-1.17277918661074,-0.681402275550487,-0.243171419895434,-0.107128728270877,0.0442361554584717,0.0951352653227408,0.0951352653227408,0.599627095440621,0.599627095440621,0.599627095440621
IBR0062005042234,2.05277709298752,2.05277709298752,2.05277709298752,2.05277709298752,2.05277709298752,2.05277709298752,2.05277709298752,2.05277709298752,3.69649807292216,3.69649807292216,3.69649807292216,3.69649807292216,3.69649807292216,3.69649807292216,3.69649807292216,3.69649807292216,3.69649807292216,3.69649807292216,3.69649807292216,3.69649807292216
IBR0062005060157,-2.62340915361516,-2.62340915361516,-1.95743215374422,-1.95743215374422,-1.95743215374422,-1.53804807447222,-1.53804807447222,-1.53804807447222,-1.53804807447222,-1.53804807447222,-1.53804807447222,-1.53804807447222,-0.646229678393078,-0.646229678393078,-0.620891830847764,-0.620891830847764,-0.174016238464459,-0.174016238464459,-0.174016238464459,-0.174016238464459
IBR0062005110858,0.616086046021816,1.93538320460625,1.93538320460625,1.93538320460625,1.93538320460625,1.93538320460625,1.93538320460625,1.93538320460625,3.54967413908231,3.69389726542513,3.69389726542513,3.69389726542513,3.69389726542513,3.69389726542513,3.69389726542513,3.69389726542513,3.69389726542513,3.69389726542513,3.69389726542513,3.69389726542513
IBR0062005191217,-5.21496322533835,-4.02839502375109,-2.97698926659537,-2.97698926659537,-2.97698926659537,-2.97698926659537,-2.77840898237835,-2.63947588078032,-2.15815884499759,-2.15815884499759,-2.15815884499759,-2.08690995499579,-2.08690995499579,-2.0231585362475,-1.65848425626663,-0.755711125465933,-0.755711125465933,-0.118851435558598,0.454863954147221,0.91204316741639
IBR0062006010602,-0.69422195790148,0.128629344586481,0.128629344586481,0.128629344586481,0.128629344586481,0.128629344586481,0.128629344586481,0.128629344586481,0.128629344586481,0.128629344586481,0.660580551789847,2.96007513644222,3.37352113857467,3.37352113857467,3.37352113857467,3.37352113857467,3.37352113857467,3.37352113857467,3.37352113857467,3.37352113857467
IBR0062006040531,-0.635303383295469,-0.0887648416702605,0.329073641855355,0.329073641855355,0.401410683091761,1.06942617218398,4.68450711107799,4.68450711107799,4.68450711107799,4.68450711107799,4.68450711107799,4.68450711107799,4.68450711107799,4.68450711107799,4.68450711107799,4.68450711107799,4.68450711107799,4.68450711107799,4.68450711107799,4.68450711107799
