FileName,real_iv2_total_1,real_iv2_total_2,real_iv2_total_3,real_iv2_total_4,real_iv2_total_5,real_iv2_total_6,real_iv2_total_7,real_iv2_total_8,real_iv2_total_9,real_iv2_total_10,real_iv2_total_11,real_iv2_total_12,real_iv2_total_13,real_iv2_total_14,real_iv2_total_15,real_iv2_total_16,real_iv2_total_17,real_iv2_total_18,real_iv2_total_19,real_iv2_total_20
KGS0292010032126,0.00186037438993929,0.00357880409906419,0.00421719325343539,0.00493499059890542,0.00630162485226263,0.00673801292144493,0.0088370002193743,0.0215701487174168,0.0287175548862629,0.0340194633949872,0.0393519668093919,0.0416403356626842,0.0430063390986583,0.0457073811979075,0.0473342654296433,0.049451667227988,0.0504949353984026,0.052143369148468,0.0526105872827592,0.0533981076700144
KGS0292012250538,0.00095699125332157,0.00135661472114801,0.0015572025562543,0.00173826421479204,0.00191141618714443,0.0021031466351441,0.0022040994417279,0.00230654465941824,0.00239460784242845,0.00247906143811457,0.00257760957388976,0.00266133758934678,0.00298500968310566,0.00370358301791111,0.00442518318697271,0.00485606668675951,0.00510775829443547,0.00533640910185358,0.00549708974507727,0.00561116932051591
KGS0301901081001,0.00981991439132881,0.0165209090894983,0.0242751792424427,0.159454129043724,0.298274719774684,0.386112616951091,0.440586701744543,0.48391869359603,0.512039929113143,0.533298537246783,0.556211191573618,0.569577555565917,0.578756723107713,0.588719755269884,0.602773519262714,0.610323203390087,0.613826121578721,0.615439930140206,0.616150587058081,0.618100102704985
KGS0301902101434,0.00228347263695623,0.00576512527945651,0.00830771677603833,0.0136263175812905,0.0244100183251196,0.16014558916321,0.275072185503852,0.406281117615503,0.503652839502922,0.585859143550897,0.726179844871488,0.866039725964585,1.0291061037212,1.09352994321241,1.11601336565911,1.14640128455935,1.22258292276272,1.29456597688953,1.35532366026893,1.37582004082711
KGS0301902201218,0.000244341446784298,0.000998153754778566,0.00131893176729845,0.00187589443131584,0.00307655073177328,0.00484944310914888,0.00661520137928721,0.0401235424401379,0.0907937094035176,0.117263849699084,0.147230770020373,0.17219351906028,0.183874390598689,0.193811466415031,0.200058701416818,0.210897693225263,0.214251105910379,0.216924988379488,0.220414781419065,0.222126216534522
KGS0301908201720,0.000866098349428246,0.00166036224790168,0.0029868178351988,0.00430793646774384,0.00595235072308682,0.00794011808190231,0.0110018448615703,0.0136500486441721,0.0305833450317028,0.148920479574788,0.411996590787188,0.587537009913541,0.656053075511824,0.875498206061739,1.02331261457429,1.08083152008193,1.14008915909023,1.15604261031588,1.17686259164265,1.19925601619947
KGS0301912201831,0.000569102582570878,0.0011468460702644,0.00156651419826809,0.00271595577056528,0.0194501795812783,0.181436617236887,0.295928775217257,0.391619057024712,0.443564606181377,0.478723490652696,0.522153306318129,0.532488965057563,0.541257666777569,0.545747236398216,0.550609368410351,0.552372748281343,0.556120742801241,0.561255197465855,0.563004750581397,0.563913911949002
KGS0302002022011,7.37903417509788e-05,0.000212116181879134,0.000433059673469421,0.0012591276049516,0.00172064543826321,0.00226005794326397,0.00259743108679803,0.0162555796475906,0.136008461471788,0.20468605901268,0.289131398532751,0.328788936118555,0.381900582997527,0.427081970869675,0.44631547493559,0.470070850024726,0.480936738544487,0.500787424559035,0.512012107094884,0.518038708423157
KGS0302004240619,0.000510067791015829,0.00117461641866611,0.00145410964591363,0.0145248273748787,0.117919925202424,0.20195896605548,0.218752596373272,0.234069104916001,0.248083526800586,0.26466303071384,0.272045822401885,0.274334683277498,0.276078373049035,0.278924348860864,0.283266796068077,0.285115870115819,0.286607998606284,0.286885896605021,0.287419764861513,0.288085665669802
KGS0302005191845,3.80869925082497e-05,0.000212754255615898,0.000437489225736547,0.000748459444236674,0.00123685609828714,0.00180008395896383,0.00226114615933149,0.00253140670413531,0.00483647945093335,0.0216799516808244,0.0357795692971153,0.0539651053851667,0.0656141637657794,0.0858035114290267,0.0938911589019887,0.0984003544571217,0.112943445219381,0.124657481394468,0.130091025372918,0.132084925445552
KGS0302006122203,5.10693530117713e-05,0.000217705552358954,0.000637346431934012,0.000857922511236834,0.00127168259869254,0.00176871701942955,0.00224047325644557,0.00619595566424546,0.0664015175070041,0.096127370258894,0.103276030003026,0.119677428884598,0.165886808796189,0.201351296829305,0.219602886048054,0.228414589392726,0.236776211220558,0.248129663639369,0.253217117855892,0.255005418692813
KGS0302104100707,0.000105902418786535,0.00253557255706909,0.00390839751024809,0.00750775112109928,0.0111421372560646,0.0145960453916077,0.0176848014436313,0.022871824919627,0.0254259309691726,0.0269814690610633,0.0284323238100707,0.0314759563297655,0.0728218509617661,0.602484644984585,0.911401859151423,1.05660883650479,1.12867335977359,1.23848269613427,1.38254197926786,1.5260742394142
KGS0311901081001,0.00688156845256155,0.00833314369954225,0.0394804776566412,0.0463612567036715,0.0526480827594171,0.0555221306614123,0.0573262115225677,0.0584955907868066,0.0592890358625559,0.0602777712057184,0.0609184376191138,0.0614360450042155,0.0621874291911451,0.0628327486542292,0.0631337380320982,0.0634691890643924,0.0635996278254583,0.0637316144736883,0.0638217343194562,0.0639080818589736
KGS0311902101434,0.0133199314258039,0.0250347864282958,0.0331110725800511,0.0418301609706422,0.173195220402446,1.66863842438009,1.89213175203741,2.03658576092923,2.09488292853227,2.14174529551229,2.16333698354603,2.17859940803487,2.19283929209028,2.20732390372948,2.2156587733865,2.2225145883403,2.22909509600344,2.23267773896789,2.23509947173496,2.23781322681468
KGS0311902191710,0.00155561256191264,0.00215387597504944,0.00268177611701909,0.00305148700925985,0.00414149261263384,0.0187303338346453,0.0254525830458483,0.0271627697827947,0.0288283725841849,0.0299583185795667,0.0305391843895915,0.0309776839444957,0.0316437855960532,0.0320449836885091,0.0322607506940296,0.0324575067683669,0.032592779269407,0.0326994049178458,0.0328028982984777,0.0329112159278207
KGS0311908201720,0.000390902084679336,0.0013364771969738,0.00185103864912806,0.00242939366219829,0.00289177195947175,0.00341366809964241,0.00406272359004389,0.00458843937959553,0.00526652148740691,0.00582213734883128,0.00913972367856437,0.015008373236644,0.0200381358513829,0.0239883737667405,0.0260170594451134,0.0287864949227843,0.0314144140246403,0.0326998214983838,0.033902540168493,0.0354665766935048
