FileName,real_tc_1,real_tc_2,real_tc_3,real_tc_4,real_tc_5,real_tc_6,real_tc_7,real_tc_8,real_tc_9,real_tc_10,real_tc_11,real_tc_12,real_tc_13,real_tc_14,real_tc_15,real_tc_16,real_tc_17,real_tc_18,real_tc_19,real_tc_20
AIC0011903090108,0.305257619638482,0.27273020009995,0.264439828901761,0.259939316741094,0.304089804178766,0.266119450326698,0.27303300378854,0.299569390337907,0.298206917190791,0.304369581831979,0.326600661573595,0.337239966502671,0.34467435575228,0.365807377222113,0.368152920216057,0.369042712416041,0.373532527575067,0.375782222160608,0.376261674487811,0.37821491055409
AIC0012009271313,0.859882319149409,0.849589009192924,0.800775670522606,0.776115821849384,0.778378121784968,0.767002427285883,0.764602738346378,0.773152147364964,0.770173118352001,0.780425107142734,0.790678344095537,0.778469829423358,0.882359460267329,0.882904194875392,0.833963980654909,0.824358082908997,0.81632085829759,0.806662882511599,0.855412757239126,0.857392551699386
AIC0012010190328,0.0906050802996865,0.12582401271234,0.145683801602669,0.151391635534777,0.156370673700246,0.149747814543973,0.150933429904351,0.151233178807305,0.155881769005182,0.158538163346413,0.161478937437799,0.163323433525197,0.166953937621149,0.170173784007243,0.176570594207586,0.178936158594465,0.179954339880146,0.180509600560674,0.180996090686267,0.184631709041357
AIC0021903090108,0.175297925929099,0.175081138907281,0.186441769034849,0.17850827966367,0.16793405346355,0.273457021046823,0.264000027440952,0.263524168767281,0.265760801287931,0.271120590435493,0.2768107284838,0.277561675030583,0.282161318098157,0.282848986462661,0.282998434142042,0.28433230017634,0.285490933926464,0.285530883672444,0.287729541974254,0.288063604050906
AIC0022009271313,0.780782455201579,0.7466866769942,0.728791795688392,0.734220171993243,0.735281440631898,0.73198218049553,0.742175042366939,0.741031324400198,0.744173274599898,0.745065973637852,0.751521901225454,0.906550566396052,0.951552322677742,0.941865254547129,0.948942085817815,0.948039818703615,0.946265334998627,0.946771230146092,0.946832148531697,0.948391026598191
AIC0031903090108,0.446604903167605,0.419340414885997,0.365645981004622,0.350238481365153,0.340473853784381,0.642409853455618,0.671331121168922,0.644630655201384,0.621789846893555,0.640019221997007,0.623539287570053,0.605837945759984,0.599755139851534,0.596434954940535,0.599786349532886,0.596239409588338,0.593608082249247,0.593135229031472,0.590151647029363,0.584846566989328
AIC0032006171503,0.819764806637263,0.701546215693347,0.689329596968802,0.623352285164434,0.601579119768873,0.650186790013587,0.641984928678426,0.672475395866741,0.686319472154429,0.683666113031187,0.680648503451857,0.720896508575763,0.736652053382262,0.764095173504649,0.761211457793504,0.762655971372887,0.761918895376508,0.765737611263934,0.775971424326477,0.789963525541446
AIC0032010190328,0.263365956015267,0.246737026763223,0.237409107916107,0.254456628178943,0.218446104713981,0.181190618427781,0.173075329577725,0.173731670496644,0.174460104035901,0.174796359734551,0.179393783684373,0.183411177564822,0.189359398261528,0.191643895576492,0.191855497401459,0.192542486721704,0.194283830954499,0.19706356649701,0.201641404103258,0.202144239224897
AIC0041903090108,0.336255342399011,0.299810169440647,0.277966495900056,0.270256354120896,0.265399944361275,0.261064250625255,0.249960532520915,0.22045857330206,0.212852086128515,0.225000228552066,0.229869486010553,0.23190079301418,0.234542177868307,0.240010577228043,0.240803982897984,0.242316750939857,0.245582549301045,0.250150319568409,0.261230270950462,0.262340216685904
AIC0042009271313,1.00627314629577,0.912377172502202,0.866666636033806,0.825423551946963,0.802257544368834,0.808289760920994,0.79740156958454,0.821900624183219,0.829966511981176,0.840282234963365,0.7878846821462,0.837674968207056,0.791855548536236,0.782802376442788,0.77858942912676,0.78081640176066,0.796073961568079,0.814494215469387,0.817224881403481,0.802369429969155
AIC0042010190328,0.107416704264717,0.126878479493908,0.161769862663172,0.18864783891763,0.207018453007225,0.250457120996284,0.18396497537054,0.163862249702727,0.166266470847018,0.175542969438578,0.182013240809577,0.185464064297755,0.192203896941563,0.19271014958288,0.194138000644581,0.194850961332398,0.195346311543322,0.196821936190056,0.198671070371663,0.198966262507345
AIC0042102180358,0.364356746128698,0.43840210511317,0.408993010420503,0.402323044993118,0.387517163092873,0.310011692349772,0.284831792892952,0.272209949560573,0.278748804651939,0.271502501648483,0.274679112249369,0.282036597380615,0.289153828252848,0.294516627665589,0.294514658630562,0.297513439267486,0.300197818110263,0.302706702651906,0.30774013380241,0.311724974562702
AIC0042104050622,0.501404643532053,0.411126409328128,0.399891162964846,0.373764183332779,0.357209497444755,0.35436218344032,0.372246923930668,0.377434873791028,0.393344381139324,0.388309996314161,0.380604414833368,0.389015123627926,0.417434440720844,0.470693762951338,0.462315355442501,0.491380266019982,0.532071083416211,0.557633915668064,0.571117721579602,0.607872253945127
AIC0051903090108,0.3606137840912,0.337046734654636,0.342819260808089,0.337163331251173,0.325087183392141,0.353438205307452,0.383646277290665,0.411773109366653,0.323072410280991,0.319969133157106,0.365071829022674,0.370961814802678,0.381355371336466,0.385213837190834,0.387457354098412,0.390156171256938,0.391275985221561,0.391118767278489,0.393252545374641,0.393867425123799
AIC0052009271313,0.835623942763924,0.850114184998739,0.82206180082351,0.794822737628012,0.793806369550929,0.780295390936717,0.781128945296165,0.787403036534479,0.646988117896464,0.629777925622186,0.653339603736073,0.65457187413515,0.643549984272691,0.649796495191143,0.657877376087886,0.657956274843473,0.663254599798249,0.67187263909394,0.681004780311717,0.684660622228563
AIC0052010190328,0.497432664105532,0.438402505562665,0.478965997831287,0.601705172437835,0.740086636242298,0.762862250245018,0.745737134784499,0.65343852409196,0.550643032439285,0.490527972218955,0.493641599548639,0.494142286795203,0.488458771228217,0.48647324500328,0.488400729303059,0.496394404572359,0.496345772568762,0.511072780278675,0.572668031705769,0.62118332769705
AIC0052102180358,0.279148898347677,0.249638476945054,0.240059532332532,0.229630608164716,0.236437912995642,0.234037848227225,0.236032024763889,0.239521769501345,0.238300226449548,0.247510157718231,0.256229952944851,0.257349411632122,0.256479136910333,0.257925040287537,0.258965064503319,0.260810822284257,0.260954428723049,0.26105641520837,0.268736150855477,0.277232606839467
AIC0061903090108,0.239223191271185,0.241712894580964,0.225952405702804,0.22677856440314,0.249512973843607,0.264158227493654,0.255502578802854,0.24988641662005,0.244857094466026,0.237254873047507,0.298988070569218,0.248136550654936,0.235362132485031,0.246909711772307,0.251616613704047,0.254054111229156,0.25825844659757,0.26243529402964,0.274270614457053,0.289486916322998
AIC0062009271313,0.651844438574815,0.603142553773152,0.487326633208965,0.457350180307388,0.442310084810627,0.429590687569787,0.379854577618256,0.342381745028048,0.372571745715016,0.415752515524596,0.441692376865362,0.453445365662309,0.461797926488285,0.475512672994759,0.477982553119986,0.482336749946561,0.488075164155403,0.493598350659097,0.499261828686189,0.499369470200062
AIC0062104050622,0.133754538657598,0.134374044196769,0.139064554406499,0.151858949742514,0.178563861352107,0.217526070013576,0.236823376445381,0.25408749595344,0.215200039259673,0.179891944754386,0.181982290274586,0.184363471701844,0.186477615186638,0.19105089773948,0.194953388605652,0.198785488544037,0.19951087653677,0.200966156291352,0.201353437173012,0.201946494105472
