FileName,real_PGV_total_1,real_PGV_total_2,real_PGV_total_3,real_PGV_total_4,real_PGV_total_5,real_PGV_total_6,real_PGV_total_7,real_PGV_total_8,real_PGV_total_9,real_PGV_total_10,real_PGV_total_11,real_PGV_total_12,real_PGV_total_13,real_PGV_total_14,real_PGV_total_15,real_PGV_total_16,real_PGV_total_17,real_PGV_total_18,real_PGV_total_19,real_PGV_total_20
CHB0082001140453,0.151588857795791,0.151588857795791,0.151588857795791,0.151588857795791,0.151588857795791,0.151588857795791,0.151588857795791,0.151588857795791,0.151588857795791,0.338394571196077,0.338394571196077,0.338394571196077,0.516768887819914,0.516768887819914,0.516768887819914,0.516768887819914,0.516768887819914,0.516768887819914,0.516768887819914,0.516768887819914
CHB0082002010207,0.0977055471252812,0.1034118279238,0.1034118279238,0.122028136341555,0.138979772837802,0.167364268498298,0.167364268498298,0.167364268498298,0.167364268498298,0.191234256398043,0.836880423508317,2.02819244997807,3.04326191870432,3.04326191870432,3.04326191870432,3.04326191870432,3.04326191870432,3.04326191870432,3.04326191870432,3.04326191870432
CHB0082004120044,0.185474565850786,0.185474565850786,0.185474565850786,0.185474565850786,0.185474565850786,0.185474565850786,0.185474565850786,0.185474565850786,0.185474565850786,0.185474565850786,0.870325864695343,0.870325864695343,0.870325864695343,0.870325864695343,0.870325864695343,0.870325864695343,0.870325864695343,0.870325864695343,0.870325864695343,0.870325864695343
CHB0082005042207,0.0711315389809713,0.125669256130097,0.131583608834497,0.214643205083816,0.214643205083816,0.214643205083816,0.214643205083816,0.214643205083816,0.214643205083816,0.214643205083816,0.230312829678399,0.397759989940433,0.557147788184833,0.557147788184833,0.557147788184833,0.557147788184833,0.557147788184833,0.557147788184833,0.557147788184833,0.557147788184833
CHB0082005060157,0.109792857397813,0.109792857397813,0.111971685006848,0.113841297301218,0.113841297301218,0.113841297301218,0.12617177065171,0.127500373103125,0.173288502257046,2.13120099382782,2.13120099382782,2.13120099382782,2.13120099382782,2.13120099382782,2.13120099382782,2.13120099382782,2.13120099382782,2.13120099382782,2.13120099382782,2.13120099382782
CHB0082007090605,0.102335117656446,0.102335117656446,0.102335117656446,0.102335117656446,0.102335117656446,0.109019451573539,0.109019451573539,0.13208919475928,0.13208919475928,0.217767439769021,0.259871315731264,0.259871315731264,0.362219327380724,0.362219327380724,0.362219327380724,0.362219327380724,0.362219327380724,0.362219327380724,0.362219327380724,0.362219327380724
CHB0082012171642,0.0849396242161254,0.0849396242161254,0.0849396242161254,0.0849396242161254,0.0849396242161254,0.0849396242161254,0.0849396242161254,0.0849396242161254,0.395509031043382,0.395509031043382,0.395509031043382,0.395509031043382,0.395509031043382,0.395509031043382,0.395509031043382,0.395509031043382,0.395509031043382,0.395509031043382,0.395509031043382,0.395509031043382
CHB0091901141323,0.0670994325577731,0.204025576056636,0.204025576056636,0.204025576056636,0.204025576056636,0.204025576056636,0.204025576056636,0.204025576056636,0.204025576056636,0.204025576056636,0.204025576056636,0.226660753988611,0.226660753988611,0.226660753988611,0.256577503138298,0.26647772784911,0.32467898939599,0.346938513306123,0.346938513306123,0.346938513306123
CHB0091905251520,0.601353446147357,0.601353446147357,0.601353446147357,0.601353446147357,0.601353446147357,0.601353446147357,0.601353446147357,2.00089688132852,2.53348152143517,2.53348152143517,2.53348152143517,2.53348152143517,2.53348152143517,2.53348152143517,2.53348152143517,2.53348152143517,2.53348152143517,2.53348152143517,2.53348152143517,2.53348152143517
CHB0091906010758,0.185698320714412,0.185698320714412,0.185698320714412,0.185698320714412,0.185698320714412,0.185698320714412,0.185698320714412,0.906130980085202,0.906130980085202,0.906130980085202,0.906130980085202,0.906130980085202,0.906130980085202,0.906130980085202,0.906130980085202,0.906130980085202,0.906130980085202,0.906130980085202,0.906130980085202,0.906130980085202
CHB0091906240911,0.0637423578287706,0.0637423578287706,0.0637423578287706,0.0637423578287706,0.113640681138904,0.117604780874213,0.117604780874213,0.117604780874213,0.117604780874213,0.117604780874213,0.158157978824743,0.424682013692074,0.648643560366832,0.648643560366832,0.648643560366832,0.648643560366832,0.648643560366832,0.648643560366832,0.648643560366832,0.648643560366832
CHB0091910121822,0.102770217447299,0.102770217447299,0.102770217447299,0.102770217447299,0.102770217447299,0.102770217447299,0.132588115043118,0.132588115043118,0.132588115043118,0.132588115043118,0.132588115043118,0.159309570560554,0.159309570560554,0.159309570560554,0.159309570560554,0.183586733511133,0.823733323158354,0.927308552879522,0.927308552879522,0.927308552879522
CHB0092001140453,0.0892551203870246,0.103860575235367,0.109456076609184,0.109456076609184,0.109456076609184,0.140233293504461,0.140233293504461,0.140233293504461,0.140233293504461,0.140233293504461,0.205207668099161,0.205207668099161,0.205207668099161,0.269157954371835,0.320242800234162,0.362077774745607,0.422554538635209,0.422554538635209,0.422554538635209,0.422554538635209
CHB0092002010111,0.0581656072245824,0.0581656072245824,0.0634578485449189,0.0792372921126022,0.0792372921126022,0.0792372921126022,0.0792372921126022,0.08066132284694,0.08066132284694,0.200718315016416,0.29139517959701,0.29139517959701,0.29139517959701,0.29139517959701,0.29139517959701,0.29139517959701,0.29139517959701,0.29139517959701,0.29139517959701,0.29139517959701
CHB0092002010207,0.168747959393417,0.168747959393417,0.168747959393417,0.168747959393417,0.168747959393417,0.168747959393417,0.168747959393417,0.168747959393417,0.178967382053201,0.178967382053201,0.849909169482624,0.95202697207598,0.95202697207598,0.95202697207598,0.95202697207598,0.95202697207598,0.95202697207598,0.95202697207598,0.95202697207598,0.95202697207598
CHB0092002201253,0.230233127263173,0.230233127263173,0.230233127263173,0.230233127263173,0.230233127263173,0.230233127263173,0.373153044094556,0.373153044094556,0.373153044094556,0.373153044094556,0.373153044094556,0.373153044094556,0.373153044094556,0.373153044094556,0.373153044094556,0.373153044094556,0.373153044094556,0.373153044094556,0.373153044094556,0.373153044094556
CHB0092004120044,0.0613498295086214,0.0873168870960584,0.103004017691221,0.103004017691221,0.109615194350342,0.122836921267782,0.122836921267782,0.142086602605497,0.142086602605497,0.142086602605497,0.249147689915778,0.311759390466699,0.311759390466699,0.335695134127956,0.335695134127956,0.335695134127956,0.363729424596589,0.397928718521671,0.427417822371831,0.427417822371831
