FileName,real_arias_total_1,real_arias_total_2,real_arias_total_3,real_arias_total_4,real_arias_total_5,real_arias_total_6,real_arias_total_7,real_arias_total_8,real_arias_total_9,real_arias_total_10,real_arias_total_11,real_arias_total_12,real_arias_total_13,real_arias_total_14,real_arias_total_15,real_arias_total_16,real_arias_total_17,real_arias_total_18,real_arias_total_19,real_arias_total_20
AOM0092012210223,0.00359475849172204,0.00919231208066929,0.02174034885486,0.0430593694504709,0.0635488740258724,0.078281530899027,0.0910078042185393,0.104384374722614,0.119865163357093,0.129336152761731,0.142176758719755,0.160624763804025,0.24648700181921,0.318859459589071,0.411363934261462,0.546152089266769,0.81194418628117,1.04815516944683,1.34429370467639,1.49771701743599
AOM0092102262031,0.000375793846477451,0.00140599613014646,0.00264795484135972,0.00425785006850841,0.00525237304561873,0.00669946549125133,0.00815740415568606,0.00982523454005025,0.0111227340914512,0.0169389878914129,0.0287803768701306,0.0385506014822899,0.0468961285805819,0.0568052782811351,0.0642153147082088,0.0682984241309099,0.0714707213857365,0.074073575220059,0.0764697881287771,0.0785399832953653
AOM0092104152023,0.000114663567117442,0.000646660324239448,0.00100416534585337,0.00130079903358448,0.0015356931608083,0.0017628989205788,0.00192406001127827,0.00217647341378378,0.00253297707588028,0.00285047412973628,0.00335040668122215,0.00422398505322895,0.00658023970014785,0.00924364688644062,0.0116456992217193,0.0133248215028658,0.0141207248259765,0.0149584211131666,0.0155633744759933,0.015922542646844
AOM0092106101856,0.00113847174331285,0.00196847702458697,0.0027138853853549,0.00325084607183811,0.00359455290174037,0.00390726117159284,0.00418078773181518,0.00452035162766827,0.00483925493264286,0.00523066318141197,0.00569694003689414,0.00750568334101653,0.00924039201961756,0.0113548524013818,0.0135665532055519,0.0149763216501417,0.0165879092351915,0.0180156899743904,0.0192732471744014,0.0201289504255253
AOM0092107261116,0.00123359411640222,0.00795922479350646,0.0115463231732842,0.0166025939514168,0.0233231664806229,0.0306858101790472,0.0381840479296892,0.0506921428763594,0.0627436733314806,0.0719547682537787,0.083305321304207,0.202744244140897,0.425520090641732,0.527701587282495,0.594140806350264,0.660245604316176,0.701327193092189,0.738534389913824,0.771256295014521,0.806419817491747
AOM0101901261723,0.0037702451372047,0.0513289151114255,0.150579724589235,0.233418045729986,0.307051099872544,0.366541657559866,0.409173347580977,0.46397104631741,0.503872540245998,0.535655795400057,0.573632219967711,0.628607740581255,0.669726744022618,0.748669718258322,1.03608707166431,1.42818153211983,2.0248718469702,3.00473763285202,4.24701672673345,4.90004334029138
AOM0101905080920,0.00712106322872096,0.0198148827846656,0.0303980739100965,0.0427449890370485,0.0532457208361815,0.0602669521337714,0.0655807096441302,0.0738141905041565,0.0779105952814859,0.0819771002275479,0.0860053118080979,0.0901760326602914,0.0935186986681817,0.0992627626908949,0.10908317867656,0.159357998041359,0.214430932598489,0.241892477758611,0.276968014690216,0.303722579894631
AOM0101908151433,0.00883282025233174,0.113357161577046,0.25674186862935,0.392018092712653,0.550951480961109,0.690910279122995,0.812581260746472,1.0088003719967,1.13143779873027,1.2321909600073,1.36860780373647,2.53099688080013,5.4180902618679,6.89360714449376,7.89499798876122,8.4937785099839,9.03692178615118,9.26825647957359,9.50747385143652,9.7392754727156
AOM0101908151506,0.00284559931313049,0.00828137675998471,0.0147153124479479,0.0291866401538899,0.0382186233503698,0.0443036329472414,0.0582987430270357,0.0693893306233376,0.077621549936483,0.0888550276081354,0.108792419354388,0.227285431777975,0.37424661218025,0.453673544738258,0.523192541766704,0.571479573396935,0.606255717951143,0.635475450194937,0.662746898998559,0.683039324261106
AOM0101908290846,0.000533230824846621,0.00628671631589426,0.0142431678588509,0.0233633259588774,0.0317764884482797,0.0410956517961275,0.0546690466419188,0.0636149355219857,0.0726199442969777,0.0813038371473622,0.0886584838411999,0.0996000352388836,0.108031288520596,0.118060431518688,0.130398939884404,0.13944710733411,0.153397298147452,0.165216055677786,0.182418499656337,0.235739316235375
AOM0101909160127,0.00173107477927598,0.00412570723106511,0.00640198685007591,0.00854225836680087,0.0109956684454458,0.0139689752877597,0.0180207877910052,0.0212600614564729,0.0238599567111781,0.0272256530714935,0.0309281699271484,0.0362146290813115,0.0873722092742932,0.118325931372802,0.147875837959671,0.178140229600985,0.193503195318324,0.209743016058414,0.220808485858634,0.230066550507474
AOM0101912030825,0.00204112293706268,0.00452165647391608,0.00632752961702231,0.00826504153505526,0.011195896228063,0.013500533624811,0.0156619358361658,0.0185802948838248,0.0218634317656739,0.025683185854478,0.0297360062098911,0.0336090695092393,0.0519715872073187,0.179198505114286,0.369095040754186,0.437873235379055,0.522516589533344,0.565678444219679,0.601281016141306,0.621176767489389
AOM0101912191521,0.00521039941043321,0.0213366414601771,0.0480604796483697,0.0658972264842048,0.0932605329431161,0.118176897325891,0.157032266303071,0.183507486431756,0.21283073029935,0.24159081415504,0.282029755377744,0.439976931825367,1.58292168672671,3.4075959996438,4.1237557547632,4.77510285614683,5.20981637554998,5.51035783774697,5.79675713311106,6.00715482090305
AOM0102001281913,0.00426493515994128,0.00764370447352009,0.0100947191494932,0.0122287033114759,0.0141797913969113,0.0164371925206867,0.0183414905137426,0.0202986644120642,0.0219933735937603,0.0240725349765814,0.0286798554968744,0.0571344035922734,0.0810412599458181,0.0928784643622063,0.102315260266814,0.110309010999292,0.117005253192263,0.124684553250414,0.131058803851585,0.136292679839454
AOM0102012210223,0.00370508095185691,0.0229157113300003,0.0666753867153282,0.204255594920719,0.384557671020306,0.506308791628729,0.616180309020272,0.713828690983848,0.81891321836828,0.907231619355972,1.00870152679173,1.08346616524263,1.18040965749622,1.39056213613315,1.5802870089209,1.90355834625481,2.21227283843407,2.76631783237928,4.02285643507611,5.53687417328264
AOM0102102262031,0.0136710003384535,0.0213380226559994,0.0323383821266365,0.0417134470068737,0.0501506195044536,0.0588311853844423,0.0665867962300953,0.0746300297230584,0.0869495901729083,0.0965514592705989,0.108031806050878,0.124110093993277,0.389509949108585,0.652743568034411,0.772343685383528,0.874901100771937,0.983587391440891,1.0403050129617,1.07356999709021,1.1048392762186
