FileName,real_TP_1,real_TP_2,real_TP_3,real_TP_4,real_TP_5,real_TP_6,real_TP_7,real_TP_8,real_TP_9,real_TP_10,real_TP_11,real_TP_12,real_TP_13,real_TP_14,real_TP_15,real_TP_16,real_TP_17,real_TP_18,real_TP_19,real_TP_20
KNG0121908270013,0.000800541914808048,0.000747927244126781,0.000780708223481421,0.00543782408840954,0.0108704943705547,0.0102431442059963,0.0105058774623121,0.0104096275621806,0.0103715579834729,0.0104900732670336,0.0105181942204221,0.0106637769597017,0.0106906747666329,0.0106727981260699,0.0106656259534658,0.0106614669065054,0.0106678779482393,0.0106835029333307,0.0106833117381335,0.0106881275725187
KNG0121912140324,0.00281483993134212,0.00274879200849271,0.00268692353256391,0.00258208339277294,0.00239993617993232,0.00237233084430595,0.00236001511099603,0.00234334177288272,0.00235114318964469,0.00255555749812081,0.00259741805876593,0.00262995572810834,0.0026340402780344,0.00271004335571301,0.00282060549171697,0.0029053107863304,0.00292639487622851,0.00293032301846372,0.00291388370290088,0.00292410301091531
KNG0122005060157,0.00774395588434504,0.00757653392895729,0.00729294063989703,0.00692775889216663,0.00696115427737403,0.0069684256747508,0.00684101268461053,0.00671626788919918,0.0066503102604577,0.00650222080388343,0.00646209668732678,0.00644486368581701,0.00636153300998092,0.00623625618692781,0.0065604676891576,0.00866892149651152,0.0086196380441669,0.00852280039708849,0.00881763400093689,0.0087289613136931
KNG0122105141837,0.000865319171950486,0.00110461313824473,0.000867231595205617,0.000648172132108962,0.000580423535284606,0.000439568082950462,0.000453623272580741,0.000450015860320748,0.000447037060887236,0.000368127018047878,0.000424307266050209,0.00040630433079108,0.000406999807487661,0.000416039863337948,0.000414235059628282,0.000418611343423395,0.000429449470469564,0.000436770155208072,0.000445202501262186,0.000450696013422522
KNG0122106091727,0.00160029621971589,0.00159575381255879,0.00168085627386585,0.00170758795631425,0.0017042880376223,0.00170663556958892,0.00170250129635728,0.00170245799964486,0.00170034380094087,0.00169901325459884,0.00170690543875188,0.00170533928039103,0.00171228051018315,0.00170437404475197,0.00165116250868459,0.00157361807140133,0.00160089873270986,0.00161095887569847,0.00163249466387519,0.00165718751752618
KNG0131901182146,0.00203670480706469,0.00152491295792359,0.00167043950092745,0.00200844964493529,0.0025745079312944,0.00240266427457331,0.00432660761951928,0.00440390494114479,0.00437757772751879,0.00468490961953391,0.00473590871967987,0.00475917532327278,0.00467960374370932,0.00474346700712639,0.00471228527966462,0.00674670256793229,0.00689870922166132,0.00700910663887748,0.0102599850997739,0.010836685044808
KNG0131906240911,0.00757225263349835,0.00516373299979823,0.00567523783104308,0.00484716542636105,0.00466206202978048,0.00431549311922124,0.00431915148166089,0.00448914063640845,0.0043302614470413,0.00432712515054655,0.00594459237311601,0.00616037631239889,0.0132174287560427,0.0135110179928389,0.016738862009323,0.0225136834890448,0.0220284764435296,0.0217568280550075,0.0220752380970009,0.0221420428113726
KNG0131906241922,0.000503383442452353,0.000543138840827274,0.000552494182850728,0.000906902686108912,0.0025604073569881,0.00406000033756112,0.00410398667605604,0.00426666313086509,0.0044111279084275,0.00468968484752788,0.00476874943685398,0.0047999098547981,0.00483806828471891,0.00487949991699324,0.00489859524973721,0.00492708791687865,0.00494151512333567,0.00498918611741503,0.00499313580549852,0.00501894431845146
KNG0131907082254,0.000845110691613893,0.000724812169000168,0.000767210308000698,0.00079654046219687,0.0012338115327402,0.00769988778022768,0.00800968248620115,0.00895580936057141,0.00892293689151008,0.00918935328408473,0.00929038315800492,0.00927244578126196,0.00935072385970341,0.00951786557837874,0.00941058859883257,0.00945503708300323,0.0094920200764691,0.00951299343249907,0.00953185417756588,0.00961019329522616
KNG0131907250714,0.00173139453802595,0.00185665146445424,0.00181176694900122,0.00169477548278563,0.00169864627410189,0.0016896592934145,0.0017425867853082,0.00176035007182923,0.00176947912559711,0.00178714157407585,0.00184192090048969,0.00195427064892682,0.00208440102961404,0.00213571856364182,0.00214454318847318,0.00463845203861024,0.00530250762610313,0.00528789139072541,0.00521194599958347,0.00498461750297767
KNG0131911172005,0.00113167417517479,0.00119669259527818,0.00112219151743568,0.00103148454375483,0.00109050470034874,0.00116884490606564,0.00173453634874926,0.00196626876697053,0.00195092994324113,0.00260042756205016,0.00237970814499411,0.00483222299084858,0.00491288461116904,0.0052111432712896,0.00483041409572817,0.00490205973779755,0.00519731261019705,0.00563835767190369,0.00747564953427013,0.00740824274223495
KNG0131912140324,0.00307663046704539,0.00313026449607601,0.00263611438181922,0.00231989029516929,0.00216297178064587,0.00196872470277781,0.00164498451014035,0.00373819190061787,0.00387916635326926,0.00392903136423774,0.00392263046133866,0.00435299274060124,0.00445116044488197,0.00454306776171441,0.00445421363593245,0.0045639161611942,0.00453578652462256,0.00462386493573692,0.00462467729640725,0.00465063431899012
KNG0132006250447,0.00110101270562935,0.00170911335472849,0.00592033716702578,0.0198571634853703,0.0186773654546643,0.0167369211704954,0.0144852332356233,0.0140408255630951,0.013628349827349,0.0137711433539175,0.0132343324280496,0.0132932976035787,0.0142127754840734,0.0243928344748772,0.0260509077940916,0.0268879196480877,0.0278410853838576,0.0273480738562229,0.0259066437397919,0.0254728864306836
KNG0141907082254,0.00179433896904371,0.00143344833803848,0.00133499237172531,0.00229516897140265,0.00531976244248084,0.00529973664818316,0.00537998879106199,0.00570531946115103,0.00577937697303575,0.00579113362194896,0.00582565935674367,0.00590166720976414,0.00594320512114295,0.00597170650293528,0.00597594085429525,0.00597415619956334,0.00597654959072734,0.0059888329561501,0.00601520335285072,0.00603135854475176
KNG0141908270013,0.0005169020739444,0.000540122643222982,0.000622022596109203,0.00203704262638712,0.0073455478962719,0.00742166638098922,0.00738675139474603,0.00734513957944877,0.00735259174618469,0.00735824403438199,0.00748692366910982,0.00755242672396714,0.00759016489709031,0.00760440196920036,0.00765865221995772,0.00766747325969816,0.0076710539290627,0.00768276460292766,0.00770898543542027,0.00776975927975674
KNG0141912140324,0.000882255889341096,0.00102988227042406,0.00101899591311908,0.00100531217647791,0.00109611695089187,0.00126460188850475,0.00144464740410965,0.00141169452017238,0.00135787054054388,0.00133371199305528,0.00134059160582492,0.00132921126164563,0.00132143041829398,0.00136012186823242,0.00134953719432369,0.00138540210185268,0.00137907678648147,0.00137573272820409,0.0014075157538894,0.00145585081884194
