FileName,real_cad_total_1,real_cad_total_2,real_cad_total_3,real_cad_total_4,real_cad_total_5,real_cad_total_6,real_cad_total_7,real_cad_total_8,real_cad_total_9,real_cad_total_10,real_cad_total_11,real_cad_total_12,real_cad_total_13,real_cad_total_14,real_cad_total_15,real_cad_total_16,real_cad_total_17,real_cad_total_18,real_cad_total_19,real_cad_total_20
AIC0011903090108,0.00295218871033836,0.00496710021772948,0.00709707333276463,0.0091066455112309,0.0119854894196399,0.0423483945730362,0.0664475416036312,0.0802132220552994,0.094469573077292,0.108579254731907,0.12355612774092,0.135471657813157,0.145182907087569,0.152633529088327,0.161698314580295,0.166938577885785,0.177497267051314,0.185616255504074,0.190120758025913,0.197686450192013
AIC0012009271313,0.00579103440489095,0.0145868337969579,0.019274410704894,0.0235798601100948,0.0289046970782427,0.0337893754580173,0.0390968045013163,0.0446539318976998,0.0490263187487517,0.05447125177676,0.0590959629842314,0.0671566192666602,0.114538696211833,0.183259683432022,0.21392055754835,0.259884666301236,0.301075968550821,0.340044323633677,0.378254858792921,0.409585019630402
AIC0012010190328,0.000948155015147151,0.00184541841431631,0.00271919459316892,0.00338274825571876,0.00412495372817982,0.00733135460091115,0.0106047494162179,0.0128279109346477,0.0156748408251436,0.0175721203050842,0.0195699428645536,0.021009994201593,0.0223184184932267,0.0239089578776014,0.0256814577883142,0.0268786147176822,0.0281869180831854,0.0292216453504957,0.0304580470341936,0.0316991434034298
AIC0021903090108,0.00104553763711112,0.00197612699854993,0.00290288379711376,0.00352800004674189,0.00427706788148599,0.0235866347701536,0.038401322972724,0.0431403652128255,0.0464730070753992,0.0498760073569696,0.0533620646322167,0.0556232278687511,0.0574869930100907,0.0589232968757268,0.060236830401685,0.061746566180263,0.0630058840489235,0.0640807742556724,0.0654972690019136,0.0665605103131261
AIC0022009271313,0.00734285821765493,0.0106294020845074,0.0131957827387749,0.0155991337834522,0.0178555074718522,0.0195562034671041,0.021838819327984,0.023416708109265,0.0252478372547581,0.0272067544830157,0.0528869805286963,0.102858961348515,0.128320876430933,0.142957232609419,0.153239945643113,0.164002388278298,0.17132204306013,0.176522397156026,0.181355073715854,0.189086266756309
AIC0031903090108,0.00106524988141195,0.0024221667343363,0.00370455817185478,0.00468389112310037,0.00614061849876865,0.012500596227811,0.0388917413138792,0.0656356591583118,0.0770854126079401,0.0896091104653271,0.104258726728478,0.116067944499958,0.123914539337606,0.131774856341958,0.141608591202631,0.153961010179675,0.165023876830573,0.174387665500685,0.180984938633429,0.189458612169972
AIC0032006171503,0.00146423645019761,0.00415667019191222,0.00623533759594844,0.00973776398161669,0.016144146086353,0.0261463800890716,0.033119343377953,0.0403963901901308,0.0474117057633612,0.0554852333193963,0.0723857946671143,0.0875535926185906,0.0970544335022093,0.10601309761699,0.119437089444016,0.136970439117988,0.1474609438524,0.161645397173743,0.175448556999249,0.18362165134322
AIC0032010190328,0.0011675823994872,0.0017825939088045,0.00226554202397882,0.00323068178215459,0.00468142740605142,0.00730452268113667,0.011407731001098,0.0139318366153952,0.0160317229485064,0.0184938662295442,0.020811779806663,0.0229347851687325,0.0246793685942719,0.0265702317624156,0.0283766094270985,0.0297822374376003,0.0318309320300431,0.0336005760657444,0.0357625565029952,0.0372434177367802
AIC0041903090108,0.00244943485184598,0.00452272050062563,0.00664547222406551,0.00826207198294568,0.00920736040965971,0.0109314005357607,0.0124281915609075,0.0278256830660597,0.0382669201122306,0.0470761073809584,0.056888640616236,0.0663985596836046,0.072544119221376,0.0796599676318505,0.0860934903199836,0.0932362487190591,0.0988818073522384,0.104678177091691,0.112117578488584,0.117772028910911
AIC0042009271313,0.00777687332900122,0.0151073709864003,0.0233623329198815,0.0268172537824428,0.0330515495621718,0.040588022668721,0.0468572972142363,0.0547198918957775,0.0595313819366784,0.0669929178791565,0.0895473450201406,0.112001623177251,0.131881143204033,0.146543298162725,0.163577522272843,0.179688481120039,0.196088875149971,0.209851479361175,0.223268680588566,0.232007723086954
AIC0042010190328,0.000798583117327245,0.00144426359033648,0.00219147946280132,0.002954155152117,0.00365220673049445,0.00466055145484755,0.00970017600201624,0.0134439649149415,0.0168026209842667,0.0215487106342392,0.0251925070630207,0.0280890063819211,0.0312023691416886,0.0340699828615496,0.0364008331871415,0.0390617653392562,0.0412352577026158,0.0433121727269439,0.0454827013504576,0.0471199672838331
