FileName,instrumental_intensity
AOM0082004301215,1.68
AOM0082012121619,2.48
AOM0082012210223,2.96
AOM0082102262031,1.77
AOM0082106092206,1.33
AOM0082106101856,1.11
AOM0082107261116,2.7
AOM0091901261723,2.33
AOM0091907010937,0.88
AOM0091908151433,2.57
AOM0091908151506,1.43
AOM0091908250351,0.77
AOM0091909071836,1.5
AOM0091912191521,2.58
AOM0092001281913,0.79
AOM0092004240452,1.57
AOM0092004301215,1.01
AOM0092012121619,2.17
AOM0092012210223,3.02
AOM0092102262031,1.14
AOM0092104152023,0.35
AOM0092106101856,0.78
AOM0092107261116,2.41
AOM0101901261723,3.29
AOM0101905080920,1.67
AOM0101908151433,3.45
AOM0101908151506,2.17
AOM0101908290846,3.1
AOM0101909160127,1.62
AOM0101912030825,2.18
AOM0101912191521,3.37
AOM0102001281913,1.48
AOM0102012210223,3.56
AOM0102102262031,2.43
AOM0111901190504,1.46
AOM0111901261723,3.36
AOM0111905080920,2.11
AOM0111908151433,4.5
AOM0111908151506,3.3
AOM0111909160127,1.65
AOM0111912191521,4.43
AOM0112004122211,1.59
AOM0112004240452,2.05
AOM0112004301215,2.3
AOM0112008280320,1.75
AOM0112011210301,1
AOM0112012121619,3.61
AOM0112012210223,3.86
AOM0112101290424,1.17
AOM0112102262031,1.82
AOM0112103140216,1.16
AOM0112104241835,1.19
AOM0112105200527,1.18
AOM0112106011343,0.99
AOM0112106092206,2.5
AOM0112106101856,1.57
AOM0112107261116,2.65
AOM0121901190504,1.3
AOM0121901261723,3.41
AOM0121905080920,2.49
AOM0121907010937,1.9
AOM0121908040304,1.52
AOM0121908151433,3.53
AOM0121908151506,2.58
AOM0121908290846,2.31
AOM0121909071836,1.54
AOM0121909160127,2.14
AOM0121910231243,1.43
AOM0121912030825,2.36
AOM0121912191521,3.47
AOM0122001281913,2.43
AOM0122004122211,1.53
AOM0122004200539,2.99
AOM0122004240452,2.18
AOM0122004301215,2.23
AOM0122008280320,2.18
AOM0122010061527,2.32
AOM0122011210301,1
AOM0122012121619,3.64
AOM0122012210223,3.67
AOM0122101290424,1.82
AOM0122102262031,2.39
AOM0122103140216,1.21
AOM0122104241835,1.93
AOM0122105200527,1.88
AOM0122106090734,2.3
AOM0122106092206,2.37
AOM0122106101856,1.56
AOM0122107261116,2.06
AOM0131901261723,3.26
AOM0131908151433,2.76
AOM0131908151506,2.13
AOM0131912030825,2.31
AOM0131912191521,3.73
AOM0132008280320,1.26
AOM0132012121619,3.45
AOM0132012210223,3.54
AOM0132102262031,1.52
AOM0132105200527,1.19
AOM0132106092206,1.67
AOM0141901190504,1.47
AOM0141901261723,2.72
AOM0141905080920,1.4
AOM0141908151433,2.3
AOM0141908151506,1.41
AOM0141912030825,1.69
AOM0141912191521,3.18
AOM0142004301215,1.84
AOM0142008280320,1.19
AOM0142012121619,2.82
AOM0142012210223,3.61
AOM0142101290424,0.66
AOM0142102191811,0.95
AOM0142106090734,1.49
AOM0142106092206,1.69
AOM0142106101856,1.5
AOM0152012121619,1.56
AOM0152012210223,2.61
AOM0161908151433,1.68
AOM0181908151433,1.3
AOM0191908151433,2.29
AOM0191908151506,1.3
AOM0201901261723,2.45
AOM0201908151433,2.11
AOM0202012210223,2.99
AOM0202102262031,1.39
AOM0202107261116,2.02
AOM0211901261723,2.62
AOM0211905080920,0.84
AOM0211908151433,3.36
AOM0211908151506,2.1
AOM0211912030825,1.25
AOM0212004301215,1.51
AOM0212008280320,1.18
AOM0212012121619,2.46
AOM0212012210223,3.37
AOM0212102262031,1.3
AOM0212106090734,1.08
AOM0212106092206,1.23
AOM0212107261116,1.66
AOM0221901261723,2.27
AOM0221908151433,2.36
AOM0221908290846,2.77
AOM0221912191521,2.25
AOM0222001281913,0.89
AOM0222004301215,2.03
AOM0222012121619,1.81
AOM0222012210223,3.01
AOM0222107261116,2.27
AOM0231901261723,2.38
AOM0231908151433,1.86
AOM0231912191521,2.68
AOM0232012210223,3.18
AOM0232107261116,2.66
AOM0241908151433,2.68
AOM0242012210223,3.05
AOM0251908151433,1.37
AOM0252012210223,2.43
AOM0261908151433,1.49
AOM0271901261723,2.56
AOM0271908151433,2.42
AOM0271908151506,1.63
AOM0271908290846,2.58
AOM0271912191521,2.64
AOM0272004301215,1.53
AOM0272012121619,2.5
AOM0272012210223,3.15
AOM0272102262031,1.81
AOM0272106092206,1.53
AOM0272107261116,2.82
AOM0281901261723,2.43
AOM0281905080920,0.76
AOM0281908151433,2.05
AOM0281908151506,0.89
AOM0281912030825,0.96
AOM0281912191521,2.86
AOM0282012121619,2.43
AOM0282012210223,3.31
AOM0282106092206,1
AOM0291908151433,1.28
CHB0011901141323,3.19
CHB0011901182146,2.89
CHB0011906081246,1.96
CHB0011909300102,1.61
CHB0011911220523,2.14
CHB0011912031018,2.57
CHB0012001140453,2.56
CHB0012002010111,1.65
CHB0012002010207,3.42
CHB0012002171240,2.65
CHB0012004120044,3.19
CHB0012006250447,3.3
CHB0012007090605,2.88
CHB0012008301437,2.75
CHB0012011221906,2.84
CHB0012011251120,2.65
CHB0012012171642,2.5
CHB0012012300935,3.38
CHB0012102061410,1.75
CHB0012103160456,3.12
CHB0012105240409,2.25
CHB0021901141323,2.95
CHB0021905251520,2.48
CHB0021906010758,1.32
CHB0021906240911,2.15
CHB0021907290035,0.51
CHB0021909300102,0.97
CHB0021910090458,1.51
CHB0021911220523,2.05
CHB0021912031018,1.8
CHB0022001140453,2.34
CHB0022002010207,2.67
CHB0022002171240,1.35
CHB0022004120044,2.44
CHB0022004260949,2.69
CHB0022005042207,1.63
CHB0022005060157,2.6
CHB0022006010602,1.59
CHB0022006040531,1.26
CHB0022006250447,2.61
CHB0022007090605,2.52
CHB0022007290533,0.99
CHB0022008100924,0.45
CHB0022008301437,1.92
CHB0022010281558,1.83
CHB0022011221906,2.2
CHB0022011251120,1.74
CHB0022012171642,2.23
CHB0022012300935,2.95
CHB0022103041122,0.54
CHB0022103160456,2.48
CHB0031901141323,2.9
CHB0031901182146,2.67
CHB0031906170800,2.84
CHB0031906240911,2.5
CHB0031907290035,1.36
CHB0031909141154,1.51
CHB0031909300102,1.3
CHB0031910090458,1.95
CHB0031911220523,1.76
CHB0031912031018,2.42
CHB0031912041038,2.64
CHB0032001030324,2.22
CHB0032001211918,1.35
CHB0032002010111,1.98
CHB0032002010207,3.39
CHB0032002171240,1.8
CHB0032004120044,3.73
CHB0032004260949,2.98
CHB0032005042207,2.52
CHB0032005060157,2.85
CHB0032006250447,3.17
CHB0032007090605,2.49
CHB0032007290533,1.88
CHB0032008301437,2.18
CHB0032010281558,2.05
CHB0032011221906,3.07
CHB0032011251120,1.63
CHB0032012171642,2.48
CHB0032012300935,2.93
CHB0032102061410,1.53
CHB0032103160456,3.04
CHB0032105240409,2.13
CHB0041901141323,2.1
CHB0041901182146,2.3
CHB0041903142059,1.02
CHB0041903170607,0.88
CHB0041905251520,1.93
CHB0041906071908,1.39
CHB0041906081246,1.24
CHB0041906170800,2.42
CHB0041907070351,1.42
CHB0041907290035,1.78
CHB0041909300102,0.95
CHB0041912031018,1.37
CHB0042001030324,2.67
CHB0042001140453,1.82
CHB0042001141325,1.89
CHB0042002010111,2.33
CHB0042002010207,2.57
CHB0042003312024,1.17
CHB0042004120044,3.35
CHB0042004240138,1.88
CHB0042004260949,1.77
CHB0042005042207,3.11
CHB0042005042234,1
CHB0042005060157,2
CHB0042005110858,2.2
CHB0042006010602,1.75
CHB0042006040531,1.69
CHB0042006072144,1.02
CHB0042006250447,3.51
CHB0042007090605,1.45
CHB0042007290533,1.63
CHB0042008131135,1.05
CHB0042008200928,0.45
CHB0042008301437,1.98
CHB0042009101226,0.63
CHB0042009121138,0.49
CHB0042009171400,0.93
CHB0042010281558,0.66
CHB0042011011940,1
CHB0042011221906,2.74
CHB0042011251120,1.36
CHB0042012171642,2.07
CHB0042012300935,2.25
CHB0042101260825,0.59
CHB0042103041122,0.76
CHB0042103160456,2.35
CHB0042105240409,0.94
CHB0042105291002,1.44
CHB0042107280055,1.41
CHB0042108040533,1.83
CHB0051901182146,1.65
CHB0051902030410,2.05
CHB0051903170607,2.61
CHB0051907290035,2.38
CHB0052002010111,2.62
CHB0052004020033,3
CHB0052004110529,1.56
CHB0052004120044,1.73
CHB0052005042207,2.83
CHB0052006250447,4.42
CHB0052103041122,2.6
CHB0061901141323,2.31
CHB0061901182146,2.32
CHB0061903142059,1.14
CHB0061905251520,2.24
CHB0061906081246,1.35
CHB0061907070351,1.6
CHB0061910090458,1.45
CHB0061912031018,1.71
CHB0062001030324,2.54
CHB0062001140453,2.24
CHB0062002010111,2.24
CHB0062002171240,1.31
CHB0062004120044,3.05
CHB0062004260949,1.96
CHB0062005042207,2.88
CHB0062005060157,2.36
CHB0062005110858,2
CHB0062006040531,1.63
CHB0062006250447,3.26
CHB0062007290533,1.99
CHB0062008301437,1.92
CHB0062010281558,1.22
CHB0062011251120,1.59
CHB0062012171642,2.3
CHB0062103160456,2.74
CHB0062105240409,1.32
CHB0062107280055,1.39
CHB0071901141323,2.6
CHB0071901182146,2.5
CHB0071903170607,1.06
CHB0071905251520,3.13
CHB0071906081246,1.49
CHB0071907070351,2.02
CHB0071907290035,1.63
CHB0071908232049,1.29
CHB0071909300102,1.25
CHB0071910090458,1.85
CHB0071911220523,2.1
CHB0071912031018,1.98
CHB0071912041038,2.42
CHB0072001030324,2.62
CHB0072001140453,2.4
CHB0072001141325,1.7
CHB0072002010111,2.41
CHB0072002010207,3.42
CHB0072002171240,1.88
CHB0072002201253,1.53
