FileName,real_Tva_total_1,real_Tva_total_2,real_Tva_total_3,real_Tva_total_4,real_Tva_total_5,real_Tva_total_6,real_Tva_total_7,real_Tva_total_8,real_Tva_total_9,real_Tva_total_10,real_Tva_total_11,real_Tva_total_12,real_Tva_total_13,real_Tva_total_14,real_Tva_total_15,real_Tva_total_16,real_Tva_total_17,real_Tva_total_18,real_Tva_total_19,real_Tva_total_20
AIC0011903090108,0.0629609845785722,0.0629609845785722,0.0629609845785722,0.0629609845785722,0.0629609845785722,0.260217391109392,0.260217391109392,0.260217391109392,0.260217391109392,0.260217391109392,0.260217391109392,0.260217391109392,0.260217391109392,0.260217391109392,0.260217391109392,0.260217391109392,0.260217391109392,0.260217391109392,0.260217391109392,0.260217391109392
AIC0012009271313,0.195511190858525,0.22944774428185,0.22944774428185,0.22944774428185,0.22944774428185,0.22944774428185,0.22944774428185,0.22944774428185,0.22944774428185,0.22944774428185,0.22944774428185,0.22944774428185,0.588480541845923,0.588480541845923,0.588480541845923,0.588480541845923,0.588480541845923,0.588480541845923,0.588480541845923,0.588480541845923
AIC0012010190328,0.0583233333388515,0.0583233333388515,0.0583233333388515,0.0583233333388515,0.0583233333388515,0.0888095491232996,0.0888095491232996,0.0888095491232996,0.0888095491232996,0.0888095491232996,0.0888095491232996,0.0888095491232996,0.0888095491232996,0.0888095491232996,0.0888095491232996,0.0888095491232996,0.0888095491232996,0.0888095491232996,0.0888095491232996,0.0888095491232996
AIC0021903090108,0.0346331620138516,0.0346331620138516,0.0346331620138516,0.0346331620138516,0.0346331620138516,0.228291320517077,0.228291320517077,0.228291320517077,0.228291320517077,0.228291320517077,0.228291320517077,0.228291320517077,0.228291320517077,0.228291320517077,0.228291320517077,0.228291320517077,0.228291320517077,0.228291320517077,0.228291320517077,0.228291320517077
AIC0022009271313,0.238957974051146,0.238957974051146,0.238957974051146,0.238957974051146,0.238957974051146,0.238957974051146,0.238957974051146,0.238957974051146,0.238957974051146,0.238957974051146,0.414204725962708,0.351045894578984,0.351045894578984,0.351045894578984,0.351045894578984,0.351045894578984,0.351045894578984,0.351045894578984,0.351045894578984,0.351045894578984
AIC0031903090108,0.118960560202464,0.0883234525611594,0.0653217178569169,0.0678646000412371,0.0750308272618861,0.104857144212776,0.292003871331335,0.238228780636209,0.238228780636209,0.238228780636209,0.238228780636209,0.238228780636209,0.238228780636209,0.238228780636209,0.238228780636209,0.238228780636209,0.238228780636209,0.238228780636209,0.238228780636209,0.238228780636209
AIC0032006171503,0.203802437063066,0.208849174095205,0.208849174095205,0.174247760180481,0.310515495403865,0.28254922696059,0.28254922696059,0.28254922696059,0.28254922696059,0.28254922696059,0.28254922696059,0.28254922696059,0.28254922696059,0.28254922696059,0.28254922696059,0.28254922696059,0.28254922696059,0.28254922696059,0.28254922696059,0.28254922696059
AIC0032010190328,0.0764602028959721,0.0764602028959721,0.0764602028959721,0.0764602028959721,0.0953268118849843,0.102690557002285,0.0906431007128141,0.0906431007128141,0.0906431007128141,0.0906431007128141,0.0906431007128141,0.0906431007128141,0.0906431007128141,0.0906431007128141,0.0906431007128141,0.0906431007128141,0.0906431007128141,0.0906431007128141,0.0906431007128141,0.0906431007128141
AIC0041903090108,0.0780660269055514,0.0780660269055514,0.0780660269055514,0.0780660269055514,0.0780660269055514,0.0780660269055514,0.0780660269055514,0.156599478247191,0.156599478247191,0.156599478247191,0.156599478247191,0.156599478247191,0.156599478247191,0.156599478247191,0.156599478247191,0.156599478247191,0.156599478247191,0.156599478247191,0.156599478247191,0.156599478247191
AIC0042009271313,0.100739560825799,0.1144089849277,0.1144089849277,0.1144089849277,0.1144089849277,0.1144089849277,0.1144089849277,0.1144089849277,0.1144089849277,0.1144089849277,0.169870243076815,0.255205380474193,0.239213558567225,0.239213558567225,0.239213558567225,0.239213558567225,0.239213558567225,0.239213558567225,0.239213558567225,0.239213558567225
AIC0042010190328,0.0727145039080939,0.0727145039080939,0.0727145039080939,0.0727145039080939,0.0727145039080939,0.0818858079414954,0.100817895719929,0.103583271348603,0.103583271348603,0.103583271348603,0.103583271348603,0.103583271348603,0.103583271348603,0.103583271348603,0.103583271348603,0.103583271348603,0.103583271348603,0.103583271348603,0.103583271348603,0.103583271348603
AIC0042102180358,0.0844476176146779,0.0844476176146779,0.0844476176146779,0.0916181644759948,0.0916181644759948,0.149525667874506,0.178368694266559,0.178368694266559,0.178368694266559,0.178368694266559,0.178368694266559,0.178368694266559,0.178368694266559,0.178368694266559,0.178368694266559,0.178368694266559,0.178368694266559,0.178368694266559,0.178368694266559,0.178368694266559
AIC0042104050622,0.0940072424436121,0.0940072424436121,0.0940072424436121,0.0940072424436121,0.0940072424436121,0.0940072424436121,0.0940072424436121,0.0940072424436121,0.0940072424436121,0.0940072424436121,0.187720132949026,0.219168631354218,0.219168631354218,0.219168631354218,0.219168631354218,0.219168631354218,0.219168631354218,0.219168631354218,0.219168631354218,0.219168631354218
AIC0051903090108,0.0481573712811984,0.0481573712811984,0.0481573712811984,0.0481573712811984,0.0481573712811984,0.0481573712811984,0.0481573712811984,0.143767031821563,0.0702435213042388,0.0702435213042388,0.0702435213042388,0.0702435213042388,0.0702435213042388,0.0702435213042388,0.0702435213042388,0.0702435213042388,0.0702435213042388,0.0702435213042388,0.0702435213042388,0.0702435213042388
AIC0052009271313,0.115253454445732,0.115253454445732,0.115253454445732,0.115253454445732,0.0985715032356032,0.0985715032356032,0.0985715032356032,0.0985715032356032,0.131446959153601,0.131446959153601,0.131446959153601,0.131446959153601,0.131446959153601,0.131446959153601,0.131446959153601,0.131446959153601,0.131446959153601,0.131446959153601,0.131446959153601,0.131446959153601
AIC0052010190328,0.0757621817252109,0.0750012241290835,0.0750012241290835,0.0750012241290835,0.0750012241290835,0.0750012241290835,0.0750012241290835,0.0720238130754494,0.0924493374408105,0.0924493374408105,0.0924493374408105,0.0924493374408105,0.0924493374408105,0.0924493374408105,0.0924493374408105,0.0924493374408105,0.0924493374408105,0.0924493374408105,0.0924493374408105,0.0924493374408105
AIC0052102180358,0.0587327715922693,0.0587327715922693,0.0587327715922693,0.0587327715922693,0.0902028206444949,0.0562643410739345,0.0562643410739345,0.0562643410739345,0.0562643410739345,0.0562643410739345,0.0562643410739345,0.0562643410739345,0.0562643410739345,0.0562643410739345,0.0562643410739345,0.0562643410739345,0.0562643410739345,0.0562643410739345,0.0562643410739345,0.0562643410739345
AIC0061903090108,0.127852834358785,0.127852834358785,0.127852834358785,0.127852834358785,0.127852834358785,0.127852834358785,0.127852834358785,0.127852834358785,0.127852834358785,0.126052345363071,0.124262733620859,0.13526219597484,0.13526219597484,0.13526219597484,0.13526219597484,0.13526219597484,0.13526219597484,0.13526219597484,0.13526219597484,0.13526219597484
AIC0062009271313,0.0818275326583112,0.0818275326583112,0.0941701990414412,0.0941701990414412,0.0990512043764852,0.10701997305043,0.159574401416669,0.159574401416669,0.159574401416669,0.159574401416669,0.159574401416669,0.159574401416669,0.159574401416669,0.159574401416669,0.159574401416669,0.159574401416669,0.159574401416669,0.159574401416669,0.159574401416669,0.159574401416669
AIC0062104050622,0.107865864949695,0.107865864949695,0.107865864949695,0.107865864949695,0.107865864949695,0.107865864949695,0.107865864949695,0.107865864949695,0.132572418095307,0.132572418095307,0.132572418095307,0.132572418095307,0.132572418095307,0.132572418095307,0.132572418095307,0.132572418095307,0.132572418095307,0.132572418095307,0.132572418095307,0.132572418095307
AIC0081903090108,0.0761232835127457,0.0821376975684075,0.0821376975684075,0.0821376975684075,0.0821376975684075,0.0821376975684075,0.0821376975684075,0.0821376975684075,0.0821376975684075,0.0692703279846819,0.132291793231944,0.11232095977731,0.11232095977731,0.11232095977731,0.11232095977731,0.11232095977731,0.11232095977731,0.11232095977731,0.11232095977731,0.11232095977731
AIC0081908311803,0.0780208520909943,0.0715533016298277,0.0715533016298277,0.0715533016298277,0.0715533016298277,0.0715533016298277,0.0715533016298277,0.0715533016298277,0.0715533016298277,0.0715533016298277,0.0715533016298277,0.0715533016298277,0.124795387810513,0.122717383567149,0.122717383567149,0.122717383567149,0.122717383567149,0.122717383567149,0.122717383567149,0.122717383567149
AIC0081910020215,0.0567566826516763,0.0567566826516763,0.0567566826516763,0.0567566826516763,0.0567566826516763,0.0567566826516763,0.0567566826516763,0.128548633237631,0.120509424112411,0.120509424112411,0.120509424112411,0.120509424112411,0.120509424112411,0.120509424112411,0.120509424112411,0.120509424112411,0.120509424112411,0.120509424112411,0.120509424112411,0.120509424112411
AIC0082003211358,0.0991294565686807,0.0993430275211234,0.0993430275211234,0.0993430275211234,0.0993430275211234,0.0993430275211234,0.0993430275211234,0.156415366748272,0.125553205964018,0.125553205964018,0.125553205964018,0.125553205964018,0.125553205964018,0.125553205964018,0.125553205964018,0.125553205964018,0.125553205964018,0.125553205964018,0.125553205964018,0.125553205964018
AIC0082004231344,0.165789122390581,0.116528066211278,0.11123425494588,0.11544051068748,0.11544051068748,0.11544051068748,0.11544051068748,0.11544051068748,0.11544051068748,0.11544051068748,0.11544051068748,0.11544051068748,0.11544051068748,0.11544051068748,0.163082826995898,0.162731795657017,0.14548943227126,0.133143907856213,0.133143907856213,0.133143907856213
AIC0082009271313,0.0665551799643097,0.0726781234792777,0.0886724626866833,0.0886724626866833,0.0886724626866833,0.155758463347776,0.122622395381562,0.141233153223134,0.141233153223134,0.141233153223134,0.141233153223134,0.141233153223134,0.141233153223134,0.141233153223134,0.141233153223134,0.141233153223134,0.141233153223134,0.141233153223134,0.141233153223134,0.141233153223134
