FileName,real_cav_UD_1,real_cav_UD_2,real_cav_UD_3,real_cav_UD_4,real_cav_UD_5,real_cav_UD_6,real_cav_UD_7,real_cav_UD_8,real_cav_UD_9,real_cav_UD_10,real_cav_UD_11,real_cav_UD_12,real_cav_UD_13,real_cav_UD_14,real_cav_UD_15,real_cav_UD_16,real_cav_UD_17,real_cav_UD_18,real_cav_UD_19,real_cav_UD_20
AIC0011903090108,0.0522221180782445,0.0851923992137614,0.111523797208787,0.131227923748164,0.160065910403432,0.22322480002268,0.27203500588409,0.315738919412757,0.364521696239349,0.401599215606588,0.450140912549338,0.477005487477343,0.497045644550088,0.534411518970612,0.555817177927967,0.574900249487918,0.592613776096764,0.610089134664825,0.6248291046963,0.638678499519811
AIC0012009271313,0.0384801882038038,0.0590238185948824,0.0784735361400089,0.0924559543919361,0.104219263693501,0.121820082453273,0.133517779881731,0.140988584116976,0.151906494678835,0.162305021242907,0.177441205381946,0.198383495649113,0.279336261917464,0.304719217487017,0.348732024163958,0.387163230323403,0.407429044044422,0.440881286736818,0.484674745713791,0.528210851794178
AIC0012010190328,0.0328618959161023,0.0492095124377571,0.0625758162335317,0.0731049012405355,0.0885332372923519,0.1182426934807,0.141265620035486,0.155663266243156,0.170347148621334,0.18317189486019,0.192578698095626,0.203167940661642,0.21256533846424,0.228069617855363,0.241540901027445,0.248525110175294,0.254912427465728,0.260747812009121,0.266222236922595,0.273346244890014
AIC0021903090108,0.026290846276017,0.0429594126520839,0.0549906162080312,0.0698302218170636,0.0880624604725761,0.132622935949775,0.174977799599227,0.197492919531445,0.213470964330413,0.226601149797238,0.237759844387248,0.246129315828124,0.254919318616418,0.26190112145862,0.266600374161469,0.2717666391386,0.277535736427133,0.281381915148433,0.284642976705465,0.288797109089638
AIC0022009271313,0.0444635854468781,0.0636715288385597,0.077042164739378,0.0858982044415326,0.0941262887512764,0.103258123940753,0.113164615777398,0.119763137115096,0.125795340596082,0.131911499000378,0.166905319882534,0.303290628470738,0.383480770663318,0.419992488534915,0.442338686413428,0.468950777216995,0.483341346733653,0.498024918652906,0.508356324764344,0.531701773941667
AIC0031903090108,0.0130168608225481,0.0268662818151239,0.0398233586123794,0.0487955503453369,0.0602697473895029,0.113195972678479,0.139095433019789,0.164579689416387,0.19566976549804,0.232826504950466,0.266929269648412,0.294005184243998,0.3158007119271,0.33276770691597,0.343828746297441,0.366593235654731,0.388018868509566,0.400775182638863,0.421024050106216,0.440145844578977
AIC0032006171503,0.00999419042231532,0.0182540929728628,0.0249269417215729,0.0503885549010125,0.0702898198075982,0.0894205293840255,0.108495676917515,0.127512118995335,0.15165869296286,0.168224475971827,0.185077636067039,0.201766354641193,0.214913314329225,0.22896248612485,0.248472963930257,0.264501264210493,0.281665028099036,0.293904424533753,0.303288429626897,0.315663723572707
AIC0032010190328,0.0118824426498881,0.0237020155323603,0.0308179062077639,0.0380602318653763,0.0656272469089485,0.103674199897638,0.141103898682539,0.16696691855633,0.18761919051666,0.208367386819666,0.223995360353352,0.237611128582334,0.249278948494188,0.264360176172463,0.274021839665589,0.281863134365636,0.290962428539855,0.297242600254143,0.303677400677388,0.309214531353333
AIC0041903090108,0.0348311776983615,0.0715287041774452,0.103773255294071,0.124258253622192,0.140136156292825,0.154795085251361,0.18200623506546,0.296267005343513,0.406609548729294,0.486064174296635,0.557908492037356,0.611634453391652,0.658652158322632,0.705222445137862,0.732284279627467,0.767262151737903,0.786185492225168,0.81043826868687,0.841946402173881,0.862398796497421
AIC0042009271313,0.0448393751785251,0.0765652764090521,0.100151523647177,0.125233691705618,0.147448422386971,0.177665396748743,0.194667687006058,0.219331014437453,0.237451841168098,0.26804567930932,0.314457947378218,0.351551792758791,0.398537457433114,0.439567722892242,0.473475944673846,0.502074353502648,0.531986828768014,0.56449733651175,0.594019093099132,0.630688324380762
