FileName,real_arias_UD_1,real_arias_UD_2,real_arias_UD_3,real_arias_UD_4,real_arias_UD_5,real_arias_UD_6,real_arias_UD_7,real_arias_UD_8,real_arias_UD_9,real_arias_UD_10,real_arias_UD_11,real_arias_UD_12,real_arias_UD_13,real_arias_UD_14,real_arias_UD_15,real_arias_UD_16,real_arias_UD_17,real_arias_UD_18,real_arias_UD_19,real_arias_UD_20
AIC0011903090108,0.0481872025942345,0.0753204076214455,0.0919364753103077,0.102365384957195,0.120401017908957,0.196464335407276,0.219837722159372,0.236588436719847,0.251656936946302,0.257049789962249,0.262400025269978,0.266158612543488,0.268422427231704,0.270806258824671,0.272721672610675,0.273910579171056,0.274897697861653,0.275824984003469,0.276663871071355,0.27712812388619
AIC0012009271313,0.00243851470299571,0.00389133636277877,0.00443939603599343,0.00537170727847642,0.00587850550305871,0.0063954625601503,0.0067844565791924,0.00707461764921108,0.0074369487548102,0.00769747665720059,0.00785086576093308,0.00808180156330478,0.0102125631669663,0.0112223950157393,0.0135389390037395,0.014645084859313,0.0154533699429975,0.0168386367506945,0.0175210348808196,0.0180897073426131
AIC0012010190328,0.0320844198255119,0.0396266015084609,0.0455279550119416,0.0483498625536982,0.0523015804889075,0.0659099438286845,0.0712159797284946,0.0741971791236415,0.0770361787621095,0.0789095644893174,0.0797072781922621,0.0806213879607676,0.0811816621065989,0.08213424530664,0.0829484656850254,0.0832266137136701,0.0835502690616819,0.0837780397982493,0.0839264765349466,0.0841094592567963
AIC0021903090108,0.0312635210463122,0.0408819937646686,0.0465001231380881,0.0532446811669458,0.0652081193664642,0.0798353730686202,0.0938508613048375,0.098767561447044,0.102035884637785,0.103861150416284,0.105710839927966,0.107403024738256,0.108101392957647,0.108630372401655,0.108948393664644,0.109215952174816,0.109581593834295,0.109824165834653,0.109980397848189,0.110146592526983
AIC0022009271313,0.0048779923890952,0.00651108275336951,0.00710097770425963,0.00749374971561917,0.00778866802424087,0.00824831884082432,0.00873322552008989,0.00905573980550041,0.00924591072058038,0.00947413172559221,0.00990454625898402,0.0145531564926183,0.0174160888393466,0.0180574608321896,0.0184874307392552,0.0187851139304652,0.018922997846366,0.0190718888789659,0.0191456724214267,0.0192925924323271
AIC0031903090108,0.000679469292313107,0.00218945982978231,0.00419685017951366,0.00551411533765486,0.00646997991897497,0.0194358764726267,0.0253253557475178,0.0288587115001555,0.0329793103694175,0.0357875534380775,0.0399615954501094,0.0426729979624373,0.0440026660122737,0.0450398279469688,0.045540328895679,0.0461467297065392,0.046736650229166,0.0471108377305255,0.0476204495157754,0.0480734122807176
AIC0032006171503,0.000140873311447386,0.000283541810575755,0.000352210518989885,0.00173774888079796,0.00280431104335676,0.00377368566376044,0.00445524907437717,0.00495848502260763,0.0056188446426773,0.00621462399328768,0.00665922412885918,0.0070769358396662,0.00743451649563409,0.00775115788035815,0.00797868690013103,0.00818570407315019,0.00840008532649211,0.0085145343890133,0.00857072510384297,0.0086607973336803
AIC0032010190328,0.00196789810959085,0.00326340866373226,0.00391577970677635,0.00463444751817872,0.0126935665339443,0.0260887450205875,0.0365178430657289,0.0410689324286011,0.0446353842026278,0.0470610182002085,0.0484105031642329,0.0493996040914169,0.0501815172312962,0.0509527477754648,0.051520548761975,0.0517752040534169,0.0520338829898681,0.0521314432054156,0.0522901845861972,0.052385166104675
AIC0041903090108,0.0171333096005761,0.0322582859785136,0.0481323209794307,0.0571059821552978,0.0608879115140508,0.0642717594779326,0.0739671343972816,0.204181691409477,0.322002341798341,0.356397864272182,0.382898641225633,0.396371816324766,0.405581206941939,0.410917336174714,0.414881980016968,0.418363244600201,0.419535566262951,0.420876604442821,0.422544951225387,0.423217492750819
AIC0042009271313,0.00599281200248271,0.0172549406867709,0.0212263972050871,0.0238201435536381,0.0267271058779151,0.0301039101675615,0.0319568421007039,0.0350644110777646,0.0367396083782719,0.0382863193510668,0.0517879330457758,0.060135012867664,0.0687146114371959,0.0744561750009242,0.0786012952671932,0.0803331215941304,0.0819116866192549,0.08331790323465,0.0847367783646901,0.0860618859079118
AIC0042010190328,0.00972187481392871,0.0141216861638536,0.0158718497465049,0.0181627486538661,0.0194803139185482,0.022350717306575,0.0600044958701186,0.102372661077157,0.112049617501976,0.12241655967017,0.124836423897867,0.129584538113209,0.132147426342821,0.134917419496675,0.136790622554757,0.138370706502186,0.138936687644944,0.139400117850528,0.139779842619863,0.139957554796286
AIC0042102180358,0.00240515241453108,0.00354863677272579,0.00562336854724455,0.00690570307923558,0.00795839380698986,0.0197180289210506,0.0333725298834644,0.0501358536937327,0.0566225802570853,0.0617916271590399,0.0644009806549212,0.0659396384138931,0.066977588780004,0.0680533074750335,0.0687094650109867,0.0692475357845269,0.0696829754134383,0.0699071495332741,0.0700954276053064,0.0703382750402154
AIC0042104050622,0.000530687665846236,0.00110653908523975,0.0013420745530644,0.0015386699616165,0.00171305754945718,0.00190183628018114,0.00208347312424757,0.00231780097867298,0.00259901354883572,0.00275183761686592,0.00330426075151373,0.00414679767755054,0.00481199046076006,0.00546379770048953,0.00587291296877529,0.00620030773297269,0.0065201109180888,0.00667406231303221,0.00683715181007477,0.00691983340365056
AIC0051903090108,0.00329218005887158,0.00759703637483538,0.00878984954682266,0.0104122496959133,0.0116555243281383,0.0131143091027835,0.014293992782084,0.0167354348619848,0.0342699264056591,0.0418014438208142,0.0444107134320344,0.0468550540497128,0.0481531689279923,0.0490492173157955,0.0496428343897281,0.0500646210121497,0.050492959518625,0.0507914091569313,0.0510117152854561,0.0511498434024296
