FileName,real_caa_UD_1,real_caa_UD_2,real_caa_UD_3,real_caa_UD_4,real_caa_UD_5,real_caa_UD_6,real_caa_UD_7,real_caa_UD_8,real_caa_UD_9,real_caa_UD_10,real_caa_UD_11,real_caa_UD_12,real_caa_UD_13,real_caa_UD_14,real_caa_UD_15,real_caa_UD_16,real_caa_UD_17,real_caa_UD_18,real_caa_UD_19,real_caa_UD_20
AIC0011903090108,4.04594802811097,7.54668978036233,10.01354557478,11.9828130837801,14.6712052642781,20.4477157864216,23.7013328949895,26.5063461435994,28.9346259813807,30.443394695355,31.8267893599679,33.071562865433,33.9983456256125,35.0078941162788,35.8575636156105,36.5694940270757,37.2086661442539,37.8211131681949,38.4159222336597,38.846943432125
AIC0012009271313,0.899147993875462,1.67201193625079,2.16305856479053,2.80204352055561,3.23007832412803,3.69024335926236,4.08333471692974,4.42239056182263,4.79158612430141,5.12069109268871,5.35844163912777,5.65079059109291,6.69973824221515,7.3407328772135,8.27882520891182,8.92404615286331,9.48723737810946,10.2486919208704,10.7764015634782,11.2718003997343
AIC0012010190328,3.61648735007757,5.4484277940462,6.88540465572651,7.99968586788437,9.33594524195508,11.6321539515891,13.1025672566309,14.2381781636063,15.2632488418392,16.0968520316424,16.6814578313253,17.2469281618857,17.7251705407379,18.3426297610934,18.881501789706,19.2122964990237,19.539202664758,19.8523303435594,20.1001947702911,20.3591352702652
AIC0021903090108,3.33526852451935,5.37940778101853,6.92448032231321,8.59083139334759,10.8161379728796,13.2208157203639,15.5183031278805,16.9630025403819,18.0661791921083,18.9139614732808,19.7258742811449,20.5516468180709,21.0869022618518,21.5491896296289,21.9184312225713,22.2400733010122,22.6294027960961,22.9485922854727,23.2048298311257,23.4572560367227
AIC0022009271313,1.28450883970073,2.13324001128184,2.61595886531504,2.98154789647902,3.33000485198212,3.74596642358805,4.19261530465183,4.55330651043059,4.83020910212549,5.14070811262596,5.55485823959428,6.93294201995516,7.96419257720495,8.47934422838368,8.88878492747205,9.24576887701276,9.486284222578,9.73623246825964,9.91099821539145,10.1542569524287
AIC0031903090108,0.507589488457621,1.26186323638157,2.10967493736814,2.80120355323442,3.46140466120179,5.77283741311752,7.36063004706051,8.54053411105418,9.74564748654222,10.8619730365722,12.1539145562301,13.228186636117,13.9758217215005,14.6393951606774,15.0938374609335,15.5698900236795,16.074371403836,16.459524663802,16.9096670515233,17.3137797488843
AIC0032006171503,0.242085352225725,0.474453753176921,0.639321399371696,1.28523158237631,1.91845331919767,2.59177975547801,3.13553599589028,3.57567109843017,4.07359830379581,4.56644729504855,4.98330708401403,5.35487827336032,5.75282018192089,6.1190442026514,6.43543279059944,6.71950948195887,7.03153812196513,7.2545953098904,7.40462843272216,7.60641013062894
AIC0032010190328,0.785082971247193,1.51707245250949,2.00435430395362,2.53886700124953,4.22476685576217,6.59895142258782,8.6803705002397,10.0581803806995,11.279432604321,12.305943291166,13.0788323283027,13.7274679591587,14.2902568577991,14.8864187183165,15.3373848150317,15.6764041110963,15.9745984856724,16.1722411399706,16.4209619972927,16.6096948430536
AIC0041903090108,2.33944857950383,4.87181434967388,7.30052079686561,9.19269613760542,10.4393553572733,11.5504704290379,13.4459069931886,20.9462016731988,27.4038679139189,31.2763098893273,34.3689686832659,36.6170447066189,38.5778062131255,40.0880629864146,41.279229965991,42.4461215279591,43.1199151306653,43.8476038771713,44.6495480256651,45.1510726642644
AIC0042009271313,1.42339336279766,3.52830273692043,4.85223274992842,5.92599565872491,7.05448870684301,8.20130422571577,9.09424729104908,10.2520642938298,11.0236886882774,11.8098162396788,13.9853161451363,15.9531689635999,17.8896218860986,19.3183647900509,20.6237580662203,21.4680499272615,22.2322010192225,22.9678950808784,23.704640485632,24.441512821431
AIC0042010190328,1.92077564494896,3.25403315099567,4.03684833656639,5.02952687189147,5.6958025236697,6.74922298503654,10.5759261355751,14.6612055103121,16.6672707629333,18.5887199661485,19.6334904291774,21.0790736113674,22.1147468790572,23.1633253615674,24.008307312083,24.775856303537,25.2558178495568,25.6801244516348,26.0881866677523,26.3508578039025
AIC0042102180358,1.02020882367495,1.73034813691325,2.66024628573705,3.35904672065431,3.98081169317895,6.15381425839535,8.52575044191823,11.0448701107636,12.6890198618258,14.1314053767441,15.1373436587083,15.937654027241,16.5895890475749,17.2521932043511,17.7394854857968,18.2094031837315,18.616522734864,18.9174940577032,19.2078101430303,19.5296744343395
AIC0042104050622,0.440487616056282,0.928738769583533,1.24149928053424,1.50981775418759,1.77233856143501,2.03477849569576,2.30289032452469,2.59827764484704,2.91413596969222,3.16234391767004,3.62046153513109,4.17355700520355,4.67269927293098,5.19206874879593,5.57673510011369,5.9375232342479,6.29940065538837,6.52565302670479,6.78234183173693,6.95797985560062
