FileName,real_PGA_UD_1,real_PGA_UD_2,real_PGA_UD_3,real_PGA_UD_4,real_PGA_UD_5,real_PGA_UD_6,real_PGA_UD_7,real_PGA_UD_8,real_PGA_UD_9,real_PGA_UD_10,real_PGA_UD_11,real_PGA_UD_12,real_PGA_UD_13,real_PGA_UD_14,real_PGA_UD_15,real_PGA_UD_16,real_PGA_UD_17,real_PGA_UD_18,real_PGA_UD_19,real_PGA_UD_20
MYG0161908041923,23.8687268568838,23.8687268568838,23.8687268568838,23.8687268568838,23.8687268568838,23.8687268568838,23.8687268568838,23.8687268568838,23.8687268568838,23.8687268568838,23.8687268568838,23.8687268568838,23.8687268568838,24.721564579455,24.721564579455,24.721564579455,24.721564579455,24.721564579455,24.721564579455,24.721564579455
MYG0161908241353,0.514453758109429,1.15545340872351,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081,1.52866164514081
MYG0161911031402,4.19642219004979,4.19642219004979,4.19642219004979,4.19642219004979,4.19642219004979,4.19642219004979,4.19642219004979,4.19642219004979,4.19642219004979,4.19642219004979,4.19642219004979,4.19642219004979,4.19642219004979,4.19642219004979,4.19642219004979,4.55919315410269,4.55919315410269,4.55919315410269,4.55919315410269,4.55919315410269
MYG0161912071234,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347,2.55797717529347
MYG0161912111839,2.41741852112066,2.69783223392732,3.16143551704657,3.16143551704657,3.16143551704657,3.16143551704657,3.16143551704657,3.16143551704657,3.16143551704657,3.16143551704657,3.16143551704657,3.16143551704657,3.16143551704657,3.18206497175003,3.32300833891097,3.32300833891097,3.32300833891097,3.32300833891097,3.32300833891097,3.32300833891097
MYG0162002121937,7.15967956739945,12.4901053844802,12.4901053844802,12.4901053844802,12.4901053844802,12.4901053844802,12.4901053844802,12.4901053844802,12.4901053844802,12.4901053844802,12.4901053844802,12.4901053844802,12.4901053844802,12.4901053844802,14.8597213833737,17.9114486185975,17.9114486185975,17.9114486185975,17.9114486185975,17.9114486185975
MYG0162005181200,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067,14.1246247677067
MYG0162005191217,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239,19.142392377239
MYG0162007031413,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071,7.90736114269071
MYG0162007171349,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659,4.19124866548659
MYG0162009121144,0.440101902405559,1.10648016523845,2.17845080400179,2.47656416367664,2.47656416367664,2.92701089470236,2.92701089470236,2.92701089470236,2.92701089470236,3.16563291454961,3.16563291454961,3.16563291454961,3.16563291454961,3.70972262246562,4.02928377598769,4.02928377598769,4.02928377598769,4.02928377598769,4.1520788860363,4.1520788860363
MYG0162011221906,0.465120444526068,1.06089752019605,1.22493226650743,1.571274518872,1.571274518872,1.571274518872,1.571274518872,1.571274518872,1.64489464554195,1.64489464554195,1.64489464554195,1.64489464554195,1.64489464554195,1.76599366349184,1.76599366349184,1.76599366349184,1.76599366349184,1.76599366349184,2.05442405601643,3.0981680671374
MYG0162102132308,9.2434042203136,28.0754330483984,45.543436783077,70.3446593382917,84.5168859720737,84.5168859720737,89.9527079429028,151.097903922316,151.097903922316,151.097903922316,160.148241054345,160.148241054345,160.148241054345,160.148241054345,160.148241054345,160.148241054345,160.148241054345,160.148241054345,160.148241054345,179.552735813623
MYG0162102132336,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761,8.24759399628761
MYG0162102141631,8.25613081127194,8.35197623867017,8.35197623867017,8.35197623867017,8.35197623867017,8.35197623867017,8.35197623867017,8.35197623867017,8.35197623867017,8.35197623867017,8.35197623867017,9.59249919829594,9.59249919829594,9.59249919829594,9.59249919829594,9.59249919829594,9.59249919829594,9.59249919829594,9.59249919829594,9.59249919829594
MYG0162102141826,1.18904678599404,1.35336285745108,1.35336285745108,1.35336285745108,1.35336285745108,1.35336285745108,1.35336285745108,1.35336285745108,1.35336285745108,1.35336285745108,1.35336285745108,1.35336285745108,2.5632667482571,2.5632667482571,2.5632667482571,2.5632667482571,2.5632667482571,2.5632667482571,2.5632667482571,2.5632667482571
MYG0162102150625,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496,3.56373179108496
