FileName,real_id2_UD_1,real_id2_UD_2,real_id2_UD_3,real_id2_UD_4,real_id2_UD_5,real_id2_UD_6,real_id2_UD_7,real_id2_UD_8,real_id2_UD_9,real_id2_UD_10,real_id2_UD_11,real_id2_UD_12,real_id2_UD_13,real_id2_UD_14,real_id2_UD_15,real_id2_UD_16,real_id2_UD_17,real_id2_UD_18,real_id2_UD_19,real_id2_UD_20
MYZ0061911221805,0.000134194456480245,0.00018832018471416,0.00020745133898165,0.000239808373391389,0.000247403732317635,0.000260254571115513,0.000558616392946655,0.000580677316324992,0.000727039585676099,0.000876080037991663,0.00093372594529143,0.000982982316559528,0.00100084307523905,0.00103536413923168,0.0010552735932416,0.00107191720689452,0.00108441259030365,0.00109649440699275,0.00112181672022815,0.00113431368205043
MYZ0061911230102,3.97761474440599e-06,5.39828506807651e-06,5.65276618142317e-06,6.25544016692581e-06,6.59921712250034e-06,6.97384994776091e-06,8.46347022344869e-06,8.92214704834127e-06,1.0469549946384e-05,1.16441585575638e-05,1.32509621097147e-05,1.49516185302127e-05,1.58397995041761e-05,1.6939000562094e-05,1.80537510825468e-05,1.88111401177473e-05,1.92685524115557e-05,2.00658510609282e-05,2.07319758152076e-05,2.12707590554166e-05
MYZ0062004071412,1.64819320843506e-06,1.85597774194913e-06,2.05734011483439e-06,2.44197959897035e-06,2.61607386820487e-06,2.75005523964982e-06,3.03438938229421e-06,3.90568670366858e-06,1.95619108992989e-05,0.000140879608594334,0.000155181854891237,0.000161692653179626,0.000164831979473095,0.000171650044646688,0.000175030613969426,0.000182228708209399,0.000187094830514241,0.000189217833700761,0.000190913173993995,0.000193556163776122
MYZ0062106291455,3.09464474718343e-06,7.12651300086156e-06,8.93622783389178e-06,9.73557731291809e-06,1.07660621231056e-05,1.18094273023597e-05,1.23175738726726e-05,1.37031293903009e-05,4.06985959951909e-05,5.56159506719449e-05,6.74883805085046e-05,8.181314878292e-05,8.49970594775483e-05,9.21939018590003e-05,9.74032171753321e-05,0.000100747779600148,0.000104994190360017,0.000110622453759386,0.000111824067853563,0.000113010279648646
MYZ0062107172050,1.16202753791884e-05,5.31669952735843e-05,5.64441509751957e-05,5.7943131331489e-05,5.98298057361817e-05,6.19733891032472e-05,6.38082813553288e-05,6.50624587288638e-05,6.69617161564762e-05,6.94033827991127e-05,7.10322978853312e-05,7.34979003141298e-05,7.44168304690824e-05,7.53914796934223e-05,7.73621896950983e-05,8.28440477447335e-05,9.46299081607498e-05,0.0001020993798528,0.00013881564549781,0.00015607499222432
MYZ0071901031810,1.06300660895512e-06,2.60307868736586e-06,3.55639868468618e-06,4.93356130456605e-06,5.51133877838907e-06,7.23840770226755e-06,7.85621141566342e-06,8.63818674720538e-06,1.10067132839874e-05,1.37660617160289e-05,1.59399985975362e-05,1.61013830537828e-05,1.71852601098983e-05,2.07443206723076e-05,2.55804002329558e-05,3.18557835424848e-05,3.5185470473626e-05,3.89322889252794e-05,4.09360820981628e-05,4.43691274297145e-05
MYZ0071903270911,1.25729152244878e-06,2.22759226973428e-05,4.02458680257913e-05,5.94316710796779e-05,6.21629937603447e-05,6.62542021730399e-05,6.7494675981678e-05,7.1355328971465e-05,7.38871748586858e-05,7.53275130536201e-05,7.66677863990609e-05,0.00010372842904653,0.000145334608871381,0.000169261190125453,0.000276428709462739,0.000580549919354948,0.000669549831151989,0.000681182608102854,0.000707694521391141,0.000710334550233911
MYZ0071903271538,8.30769088621904e-07,4.79742345872859e-06,1.299143115992e-05,2.34272664165949e-05,2.37648912975159e-05,2.43849033418946e-05,2.46762279991232e-05,2.77934107266729e-05,2.91028835402406e-05,3.02379191977268e-05,3.16741505435453e-05,3.93532176306472e-05,0.000104605918346666,0.000119465187497805,0.000243846290720268,0.000497495604300063,0.000618374640732584,0.000659404970688706,0.000674132035445499,0.000676062748029592
MYZ0071905100848,3.51129909288718e-06,0.000335442631003745,0.000502036999112213,0.000677507502586616,0.00204119957684813,0.00333455392070693,0.00337775904977926,0.00345592307174037,0.00348410629346692,0.00357798461065293,0.0046812349639735,0.0493991940311157,0.0964188725714646,0.0996693021578622,0.136976981296351,0.216481648186908,0.222300812887379,0.227781874109261,0.229702891997497,0.230124343715845
MYZ0071907221039,5.70428534887002e-08,1.92905811822493e-07,2.93799051054121e-07,3.18636931538547e-07,3.26780357785152e-07,3.60693958255067e-07,5.62127478104765e-07,1.26079492576444e-06,1.49127847063788e-06,1.67425140171059e-06,1.7693197373679e-06,2.02790747960804e-06,2.23073729284355e-06,2.34658734881698e-06,2.39386144340574e-06,2.46317739331679e-06,2.54279883109612e-06,2.70188391185404e-06,2.98945043395564e-06,3.89159478211866e-06
MYZ0081903270911,1.71261420608782e-05,5.38007920981634e-05,0.000115971013118289,0.000154982164895754,0.000182629786718946,0.000195168676332389,0.000208170756794373,0.000237544354544912,0.000415204128255429,0.000774803815296184,0.000998310704034569,0.00208386257082919,0.00237426684335949,0.00267136838879379,0.00279375780998821,0.00294377106357488,0.00297922838025527,0.00310878870965152,0.00324644606074951,0.00346048675634634
MYZ0081903271538,8.95307939838687e-06,1.97261723369305e-05,2.3839782063699e-05,3.79795249825376e-05,4.52461827255561e-05,4.72856976255752e-05,4.93962439801711e-05,5.35842845995651e-05,7.32667245091034e-05,0.000407923588382633,0.000569615835293379,0.00125932303849967,0.00134529093510051,0.00140020597362566,0.00142917486206296,0.00152571354225842,0.00160146922946537,0.00163679858832807,0.00170793966557382,0.00197741347943957
MYZ0081905100743,2.65450330904768e-05,0.000219736296127954,0.000581880346386375,0.000811281840653844,0.000863080477934793,0.00102371066783063,0.00115846737556888,0.00136151921033731,0.00223253824242648,0.00540397364610354,0.00568086480959061,0.00744745202620736,0.00871717520538461,0.00971096636515168,0.00990079803026044,0.0100908825783897,0.0101590537531158,0.0105616543661535,0.0110574069949016,0.0120049994199176
MYZ0081905100848,0.00199213159591202,0.00755610719902243,0.0117936928816875,0.0235180277897927,0.0348579667932217,0.038401592292071,0.0420861857896267,0.0740837185021978,0.22271517924802,0.28691687658353,0.416558214887843,0.463091280617525,0.491325048011353,0.494741725449694,0.503396452508047,0.506382202230923,0.532457384226216,0.553536636631371,0.562805829354559,0.570635582438001
