FileName,real_PGD_total_1,real_PGD_total_2,real_PGD_total_3,real_PGD_total_4,real_PGD_total_5,real_PGD_total_6,real_PGD_total_7,real_PGD_total_8,real_PGD_total_9,real_PGD_total_10,real_PGD_total_11,real_PGD_total_12,real_PGD_total_13,real_PGD_total_14,real_PGD_total_15,real_PGD_total_16,real_PGD_total_17,real_PGD_total_18,real_PGD_total_19,real_PGD_total_20
AIC0011903090108,0.008239135790604,0.008239135790604,0.008239135790604,0.008239135790604,0.008239135790604,0.105649906169103,0.105649906169103,0.105649906169103,0.105649906169103,0.105649906169103,0.105649906169103,0.105649906169103,0.105649906169103,0.105649906169103,0.105649906169103,0.105649906169103,0.105649906169103,0.105649906169103,0.105649906169103,0.105649906169103
AIC0012009271313,0.0124890669218356,0.0155374828227532,0.0155374828227532,0.0155374828227532,0.0155374828227532,0.0155374828227532,0.0155374828227532,0.0155374828227532,0.0155374828227532,0.0155374828227532,0.0155374828227532,0.0162630267512391,0.140112409828656,0.140112409828656,0.140112409828656,0.140112409828656,0.140112409828656,0.140112409828656,0.140112409828656,0.140112409828656
AIC0012010190328,0.00187623872814431,0.00187623872814431,0.00187623872814431,0.00187623872814431,0.00187623872814431,0.00964073406857103,0.00964073406857103,0.00964073406857103,0.00964073406857103,0.00964073406857103,0.00964073406857103,0.00964073406857103,0.00964073406857103,0.00964073406857103,0.00964073406857103,0.00964073406857103,0.00964073406857103,0.00964073406857103,0.00964073406857103,0.00964073406857103
AIC0021903090108,0.00275575543196055,0.00275575543196055,0.00275575543196055,0.00275575543196055,0.00275575543196055,0.0634965127135346,0.0634965127135346,0.0634965127135346,0.0634965127135346,0.0634965127135346,0.0634965127135346,0.0634965127135346,0.0634965127135346,0.0634965127135346,0.0634965127135346,0.0634965127135346,0.0634965127135346,0.0634965127135346,0.0634965127135346,0.0634965127135346
AIC0022009271313,0.0178435146951218,0.0178435146951218,0.0178435146951218,0.0178435146951218,0.0178435146951218,0.0178435146951218,0.0178435146951218,0.0178435146951218,0.0178435146951218,0.0178435146951218,0.0962156869275032,0.0962156869275032,0.0962156869275032,0.0962156869275032,0.0962156869275032,0.0962156869275032,0.0962156869275032,0.0962156869275032,0.0962156869275032,0.0962156869275032
AIC0031903090108,0.00317588205803553,0.00317588205803553,0.00317588205803553,0.00317588205803553,0.00317588205803553,0.0174208838977406,0.0698416783823177,0.0698416783823177,0.0698416783823177,0.0698416783823177,0.0698416783823177,0.0698416783823177,0.0698416783823177,0.0698416783823177,0.0698416783823177,0.0698416783823177,0.0698416783823177,0.0698416783823177,0.0698416783823177,0.0698416783823177
AIC0032006171503,0.00377366692009728,0.00538781793256292,0.00538781793256292,0.00763782610801899,0.0218939965631177,0.0218939965631177,0.0218939965631177,0.0218939965631177,0.0218939965631177,0.0218939965631177,0.0220154093807296,0.0220154093807296,0.0220154093807296,0.0220154093807296,0.0272072346503871,0.0272072346503871,0.0272072346503871,0.0272072346503871,0.0272072346503871,0.0272072346503871
AIC0032010190328,0.00154714720026267,0.00154714720026267,0.00154714720026267,0.00154714720026267,0.00465385463066194,0.0116323315488986,0.0116323315488986,0.0116323315488986,0.0116323315488986,0.0116323315488986,0.0116323315488986,0.0116323315488986,0.0116323315488986,0.0116323315488986,0.0116323315488986,0.0116323315488986,0.0116323315488986,0.0116323315488986,0.0116323315488986,0.0116323315488986
AIC0041903090108,0.00490027848068326,0.00490027848068326,0.00490027848068326,0.00490027848068326,0.00490027848068326,0.00490027848068326,0.00490027848068326,0.0651250216385146,0.0651250216385146,0.0651250216385146,0.0651250216385146,0.0651250216385146,0.0651250216385146,0.0651250216385146,0.0651250216385146,0.0651250216385146,0.0651250216385146,0.0651250216385146,0.0651250216385146,0.0651250216385146
AIC0042009271313,0.0168173577132244,0.0168173577132244,0.0168173577132244,0.0168173577132244,0.0168173577132244,0.0168173577132244,0.0168173577132244,0.0168173577132244,0.0168173577132244,0.0168173577132244,0.0371672703115051,0.0371672703115051,0.0371672703115051,0.0371672703115051,0.0371672703115051,0.0371672703115051,0.0371672703115051,0.0371672703115051,0.0371672703115051,0.0371672703115051
