FileName,real_cad_UD_1,real_cad_UD_2,real_cad_UD_3,real_cad_UD_4,real_cad_UD_5,real_cad_UD_6,real_cad_UD_7,real_cad_UD_8,real_cad_UD_9,real_cad_UD_10,real_cad_UD_11,real_cad_UD_12,real_cad_UD_13,real_cad_UD_14,real_cad_UD_15,real_cad_UD_16,real_cad_UD_17,real_cad_UD_18,real_cad_UD_19,real_cad_UD_20
AIC0011903090108,0.00275276667143983,0.00346998788258194,0.00432485538646878,0.00495571113810915,0.00687530400933364,0.00880776526478393,0.0112294890846593,0.0140759740777359,0.0163051390355738,0.0185349493444516,0.021963407211093,0.0243866564746079,0.0263932686429848,0.0301641871644967,0.0316321133232683,0.0327581104352196,0.0345845810858383,0.0358600441301775,0.0369276656808395,0.0383299773953389
AIC0012009271313,0.00561786418163217,0.00811612173654104,0.00964505874269122,0.010546269447967,0.0121576224358589,0.0138324654002465,0.0154177195032922,0.0168223589706472,0.017996512052016,0.0196988994715983,0.0219997631923617,0.024259632076881,0.0375720402802628,0.0413546710743374,0.0448556439565119,0.0494004396743006,0.0509460290405361,0.0548356847686538,0.0634137237933243,0.0696233877055089
AIC0012010190328,0.000495460435830007,0.00114557550883405,0.00178312626455925,0.00217128691892378,0.0025742263241243,0.00317488151535339,0.00371418302433588,0.00404212474976348,0.00455566959070427,0.00498374896330207,0.00537475196989045,0.00574754409485516,0.00620656816939852,0.00677473025805872,0.00741569609297154,0.00779023675960825,0.0080806276257827,0.00829039517301119,0.00850642260170584,0.00899254817021897
AIC0021903090108,0.000728521378556983,0.0011959735436508,0.00174506540390663,0.00204361346161712,0.0024028114975178,0.00525265842722631,0.00680868157844223,0.0077640889224063,0.00854188032007912,0.00940157634321969,0.0102737156091273,0.0107267246166904,0.0114625328028199,0.0118766582337728,0.0121181345540745,0.012564324919456,0.0130446488841368,0.0132434360971486,0.0137862196134466,0.0140554286217967
AIC0022009271313,0.00584330385435516,0.0073161112433627,0.00814820738251119,0.00931354071688897,0.0102862396605754,0.0111562109726436,0.0128529144346642,0.013563340944944,0.0146509783020363,0.0154991067622516,0.0199472047889783,0.0422556409890456,0.0565671919947518,0.0603371328169446,0.0659404075601333,0.0700541073444339,0.0711882505913755,0.0736553883953486,0.0751196636250717,0.0789787115951772
AIC0031903090108,0.000915329168282847,0.00183087452898105,0.0022462404033486,0.00264157620823003,0.0031054353302627,0.00877121241270516,0.0122965950056022,0.014179036645793,0.0162691814233971,0.0208705178458975,0.0236121713695574,0.0251922969242649,0.0267980430697705,0.0282765866055239,0.0297106886470441,0.0316688200556511,0.0335487453764445,0.0347196775358226,0.0363584926454581,0.037732852049265
AIC0032006171503,0.00112695838676256,0.00176654920784842,0.00244113421826004,0.00483605823047508,0.00666200914867839,0.00908267072399118,0.0110891198925771,0.0137558190835473,0.0169294312727711,0.0187241790019449,0.0207114577612798,0.0237972715658206,0.0262553142883434,0.0293057737613494,0.0315754575215243,0.0337192831979027,0.0358786063584436,0.0373888224301106,0.0392770695585497,0.0417751728151676
AIC0032010190328,0.000596974874917199,0.000995636767513411,0.00118875977965306,0.00163700104102758,0.002500776610568,0.00333997036875553,0.00422841907935662,0.00495512477982471,0.00555357727472221,0.00612972711512196,0.00679444156264238,0.00746600838117067,0.00806402700812102,0.00868355913281141,0.00897992290809261,0.00928973178091588,0.00976360148085316,0.0102169883707686,0.0108915664775513,0.0111557810896449
AIC0041903090108,0.00212700051478983,0.00367522527732471,0.0047281486624965,0.00545024937478266,0.00585093652861772,0.00628030268816047,0.00696733883208066,0.0103557308856079,0.0146190599495775,0.018064819405696,0.0209750711199781,0.0228697220866183,0.0248855255387631,0.0274418610672046,0.0286021963516567,0.0303749433916427,0.0319487079237032,0.0339233316104634,0.0372298638365441,0.0385007757971735
AIC0042009271313,0.0070506610206036,0.0107054756482571,0.0129253576151304,0.0151584739806984,0.0171132670546332,0.0215548454099492,0.023150397859155,0.0275344131636736,0.0300056677951161,0.0345938947400952,0.040030207074009,0.0467554754147399,0.049843436486803,0.0541892615099986,0.0583334168298057,0.0624589998310599,0.0673164124039593,0.0734541492152696,0.0774791361369382,0.0803567401699363
