FileName,real_PGD_UD_1,real_PGD_UD_2,real_PGD_UD_3,real_PGD_UD_4,real_PGD_UD_5,real_PGD_UD_6,real_PGD_UD_7,real_PGD_UD_8,real_PGD_UD_9,real_PGD_UD_10,real_PGD_UD_11,real_PGD_UD_12,real_PGD_UD_13,real_PGD_UD_14,real_PGD_UD_15,real_PGD_UD_16,real_PGD_UD_17,real_PGD_UD_18,real_PGD_UD_19,real_PGD_UD_20
FKS0051911031402,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348,0.00711296706251348
FKS0051912071234,0.00374108167643514,0.00374108167643514,0.00374108167643514,0.00374108167643514,0.00374108167643514,0.00374108167643514,0.00374108167643514,0.00374108167643514,0.00374108167643514,0.00488367931598379,0.00488367931598379,0.00488367931598379,0.00488367931598379,0.00488367931598379,0.00488367931598379,0.00488367931598379,0.00488367931598379,0.00488367931598379,0.00488367931598379,0.00488367931598379
FKS0051912111839,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698,0.0366463334637698
FKS0052002121937,0.0287292728124456,0.0287292728124456,0.0287292728124456,0.0287292728124456,0.0287292728124456,0.0287292728124456,0.0287292728124456,0.0287292728124456,0.0287292728124456,0.0287292728124456,0.0305186381069827,0.041393876401311,0.041393876401311,0.041393876401311,0.041393876401311,0.041393876401311,0.041393876401311,0.041393876401311,0.041393876401311,0.041393876401311
FKS0052004161118,0.00143696821178531,0.00143696821178531,0.00143696821178531,0.00143696821178531,0.00143696821178531,0.00143696821178531,0.00143696821178531,0.00143696821178531,0.00178113472255744,0.00178113472255744,0.00250153749690884,0.00250153749690884,0.00250153749690884,0.00293482284821064,0.00293482284821064,0.00294497948017181,0.00294497948017181,0.00294497948017181,0.00294497948017181,0.00294497948017181
FKS0052004200539,0.0026517572004448,0.0031548131675684,0.0031548131675684,0.00451541631187229,0.00451541631187229,0.00451541631187229,0.00451541631187229,0.00451541631187229,0.00451541631187229,0.0071924177823201,0.00837486941401904,0.00890556802578992,0.00890556802578992,0.0147890163859989,0.0147890163859989,0.0147890163859989,0.0147890163859989,0.0147890163859989,0.0163913189723063,0.029528659747151
FKS0052005061016,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977,0.00859106185748977
FKS0052005181200,0.00809936940596117,0.00809936940596117,0.00809936940596117,0.00809936940596117,0.00809936940596117,0.00809936940596117,0.00809936940596117,0.00809936940596117,0.00809936940596117,0.00809936940596117,0.0137418395768924,0.0138848370093812,0.0153420000272574,0.0208840851265741,0.0208840851265741,0.0208840851265741,0.0208840851265741,0.0208840851265741,0.0208840851265741,0.0208840851265741
FKS0052005191217,0.0245871657573232,0.0245871657573232,0.0245871657573232,0.0245871657573232,0.0245871657573232,0.0245871657573232,0.0245871657573232,0.0458388945546799,0.0458388945546799,0.0458388945546799,0.0458388945546799,0.0458388945546799,0.0458388945546799,0.0458388945546799,0.0458388945546799,0.0458388945546799,0.0458388945546799,0.0458388945546799,0.0458388945546799,0.0458388945546799
FKS0052006010602,0.000731155068324752,0.00164053116490588,0.00164053116490588,0.00164053116490588,0.00164053116490588,0.00242012012733888,0.00242012012733888,0.0032593354883353,0.0032593354883353,0.0032593354883353,0.0032593354883353,0.0032593354883353,0.0032593354883353,0.0032593354883353,0.0032593354883353,0.0032593354883353,0.0032593354883353,0.0032593354883353,0.00345085028262886,0.00424953952744834
FKS0052006160155,0.00216053123284312,0.00216053123284312,0.00216053123284312,0.00224323937257694,0.00224323937257694,0.00224323937257694,0.00224323937257694,0.00224323937257694,0.00224323937257694,0.00224323937257694,0.00274190202627632,0.00426608403182878,0.00509717644110026,0.00509717644110026,0.00509717644110026,0.00509717644110026,0.00509717644110026,0.00509717644110026,0.00509717644110026,0.00509717644110026
FKS0052007031413,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133,0.013699359677133
FKS0052007171349,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439,0.00411117462540439
FKS0052008060254,0.00134229476434629,0.00205588228942389,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.00338228245448228,0.0116546226253111
FKS0052009070634,0.00425021278066887,0.00425021278066887,0.00425021278066887,0.00425021278066887,0.00425021278066887,0.00425021278066887,0.00425021278066887,0.00425021278066887,0.00425021278066887,0.00425021278066887,0.00425021278066887,0.00425021278066887,0.00425021278066887,0.00574296109110321,0.00644147050546786,0.00721363578574979,0.00761513107015255,0.00761513107015255,0.00761513107015255,0.00761513107015255
FKS0052009121144,0.00105503973133633,0.00748848078328894,0.00748848078328894,0.00748848078328894,0.00748848078328894,0.00748848078328894,0.00748848078328894,0.00748848078328894,0.00748848078328894,0.00748848078328894,0.00748848078328894,0.00748848078328894,0.00807798590862228,0.00807798590862228,0.0136379747154669,0.0136379747154669,0.0136379747154669,0.0136379747154669,0.0185043463508992,0.0426382204575138
FKS0052011221906,0.00906568656743574,0.00906568656743574,0.00906568656743574,0.00906568656743574,0.00906568656743574,0.00906568656743574,0.00906568656743574,0.00906568656743574,0.00906568656743574,0.00906568656743574,0.00906568656743574,0.00906568656743574,0.00906568656743574,0.00906568656743574,0.00926948463368732,0.029256623307779,0.029256623307779,0.029256623307779,0.029256623307779,0.029256623307779
FKS0052101230104,0.00180531872908519,0.00180531872908519,0.00180531872908519,0.00180531872908519,0.00180531872908519,0.00180531872908519,0.00180531872908519,0.00180531872908519,0.00309347769938367,0.00470034358722325,0.00470034358722325,0.00484733730821764,0.00484733730821764,0.00484733730821764,0.00484733730821764,0.00484733730821764,0.00484733730821764,0.00484733730821764,0.00484733730821764,0.00484733730821764
FKS0052101232212,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032,0.00253479072234032
FKS0052102132308,0.0883778148233657,0.0883778148233657,0.159633442482591,0.159633442482591,0.159633442482591,0.210933794496488,0.390883082751874,0.497706466347264,0.536784998830284,0.536784998830284,1.03609456085471,1.03672363990459,1.03672363990459,1.67056568292599,1.77225088710267,1.77225088710267,2.01976944023355,2.01976944023355,2.01976944023355,2.01976944023355
FKS0052102132336,0.00170015528211296,0.00204891769668684,0.00204891769668684,0.00204891769668684,0.002991921739673,0.002991921739673,0.002991921739673,0.002991921739673,0.00920276511437539,0.00920276511437539,0.00920276511437539,0.00920276511437539,0.00920276511437539,0.00920276511437539,0.00920276511437539,0.00920276511437539,0.00920276511437539,0.00920276511437539,0.00920276511437539,0.00920276511437539
FKS0052102140114,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122,0.00310597627815122
FKS0052102140132,0.00189019735236081,0.00189019735236081,0.00189019735236081,0.00189019735236081,0.00189019735236081,0.00189019735236081,0.00189019735236081,0.00189019735236081,0.0026895886498331,0.0026895886498331,0.00329564044194534,0.00329564044194534,0.00329564044194534,0.00329564044194534,0.00329564044194534,0.00329564044194534,0.00329564044194534,0.00329564044194534,0.00329564044194534,0.00329564044194534
