FileName,real_PGA_total_1,real_PGA_total_2,real_PGA_total_3,real_PGA_total_4,real_PGA_total_5,real_PGA_total_6,real_PGA_total_7,real_PGA_total_8,real_PGA_total_9,real_PGA_total_10,real_PGA_total_11,real_PGA_total_12,real_PGA_total_13,real_PGA_total_14,real_PGA_total_15,real_PGA_total_16,real_PGA_total_17,real_PGA_total_18,real_PGA_total_19,real_PGA_total_20
IWT0092004201049,2.85743533821732,2.85743533821732,2.85743533821732,2.85743533821732,2.85743533821732,2.85743533821732,2.85743533821732,2.85743533821732,10.2373238150868,10.2373238150868,10.2373238150868,10.2373238150868,10.2373238150868,10.2373238150868,10.2373238150868,10.2373238150868,10.2373238150868,10.2373238150868,10.2373238150868,10.2373238150868
IWT0092005150640,3.24116068748852,4.44309308958606,4.44309308958606,4.93900995958869,4.93900995958869,4.93900995958869,4.93900995958869,4.93900995958869,5.06328584952853,6.69349013899721,17.2803714953807,17.2803714953807,17.2803714953807,18.1628557748525,18.1628557748525,18.1628557748525,18.1628557748525,18.1628557748525,18.1628557748525,18.1628557748525
IWT0092005181200,8.26369375111856,8.26369375111856,8.26369375111856,8.26369375111856,8.26369375111856,8.26369375111856,8.26369375111856,8.77828093882119,8.77828093882119,10.8519070930972,10.8519070930972,25.0024395719783,30.394462145548,34.4502300676842,34.4502300676842,34.4502300676842,34.4502300676842,34.4502300676842,34.4502300676842,34.4502300676842
IWT0092006130242,5.33846066991774,5.33846066991774,5.33846066991774,5.33846066991774,5.33846066991774,5.33846066991774,5.33846066991774,5.33846066991774,5.33846066991774,5.33846066991774,17.8316991924575,18.6287327424847,18.6287327424847,18.6287327424847,18.6287327424847,18.6287327424847,18.6287327424847,18.6287327424847,18.6287327424847,18.6287327424847
IWT0092008270948,6.47636397737344,6.47636397737344,6.47636397737344,6.47636397737344,6.47636397737344,6.47636397737344,6.47636397737344,6.47636397737344,21.504721529366,21.504721529366,21.504721529366,21.504721529366,21.504721529366,21.504721529366,21.504721529366,21.504721529366,21.504721529366,21.504721529366,21.504721529366,21.504721529366
IWT0092009121144,8.06978561336618,23.5047987569475,40.0296505654119,40.0296505654119,40.0296505654119,40.0296505654119,40.0296505654119,40.0296505654119,40.3969480924122,42.8094262197682,91.9753267308313,93.5627386951332,102.341642383582,102.341642383582,102.341642383582,102.341642383582,102.341642383582,102.341642383582,102.341642383582,102.341642383582
IWT0092009121150,8.97136275889127,9.25009641905813,9.25009641905813,9.25009641905813,9.25009641905813,9.25009641905813,9.25009641905813,9.25009641905813,9.25009641905813,10.0816248998675,22.5097839866917,22.5097839866917,22.5097839866917,22.5097839866917,22.5097839866917,22.5097839866917,22.5097839866917,22.5097839866917,22.5097839866917,22.5097839866917
IWT0092009121249,3.16776108526337,3.16776108526337,4.83006117715354,4.83006117715354,4.83006117715354,4.83006117715354,4.83006117715354,4.83006117715354,4.83006117715354,4.83006117715354,14.3370658228253,15.980738999748,15.980738999748,15.980738999748,15.980738999748,15.980738999748,15.980738999748,15.980738999748,15.980738999748,15.980738999748
IWT0092009130529,7.46232238241391,7.46232238241391,7.46232238241391,7.46232238241391,7.46232238241391,7.46232238241391,7.46232238241391,7.46232238241391,7.46232238241391,7.46232238241391,16.9876806052806,20.1193122965825,20.1193122965825,20.1193122965825,20.1193122965825,20.1193122965825,20.1193122965825,20.1193122965825,20.1193122965825,20.1193122965825
IWT0092009302258,7.77715286126891,7.77715286126891,7.77715286126891,7.77715286126891,7.77715286126891,7.77715286126891,7.77715286126891,7.77715286126891,7.77715286126891,21.9454167992784,21.9454167992784,21.9454167992784,21.9454167992784,21.9454167992784,21.9454167992784,21.9454167992784,21.9454167992784,21.9454167992784,21.9454167992784,21.9454167992784
IWT0092010052301,2.14501252771251,2.14501252771251,2.14501252771251,2.14501252771251,2.14501252771251,2.42417181126271,2.47555346709858,2.47555346709858,16.5560030093866,16.5560030093866,16.5560030093866,16.5560030093866,16.5560030093866,16.5560030093866,16.5560030093866,16.5560030093866,16.5560030093866,16.5560030093866,16.5560030093866,16.5560030093866
IWT0092010061527,5.39434375403407,5.39434375403407,5.39434375403407,5.39434375403407,5.39434375403407,5.39434375403407,5.39434375403407,6.89622463436867,6.89622463436867,6.89622463436867,6.89622463436867,33.0350685650452,33.0350685650452,33.0350685650452,33.0350685650452,33.0350685650452,33.0350685650452,33.0350685650452,33.0350685650452,33.0350685650452
IWT0092011210720,2.87022647154407,2.87022647154407,2.87022647154407,2.87022647154407,2.87022647154407,2.87022647154407,2.87022647154407,2.87022647154407,2.87022647154407,2.87022647154407,2.87022647154407,13.5515820238551,13.5515820238551,13.5515820238551,13.5515820238551,13.5515820238551,13.5515820238551,13.5515820238551,13.5515820238551,13.5515820238551
IWT0092012121619,3.41556109079435,4.87287403727113,5.27673014155105,7.67167869425024,7.67167869425024,7.67167869425024,7.67167869425024,7.67167869425024,7.67167869425024,7.67167869425024,7.67167869425024,7.67167869425024,7.67167869425024,7.67167869425024,7.67167869425024,16.6745243991947,18.0796945795993,25.1504036245703,26.8619568255728,28.5922355676582
IWT0092012201835,2.61309111813155,3.01183636203933,3.01183636203933,3.01183636203933,3.01183636203933,3.01183636203933,3.01183636203933,3.01183636203933,3.01183636203933,3.04448173140603,7.90930341227355,7.90930341227355,7.90930341227355,7.90930341227355,7.90930341227355,7.90930341227355,7.90930341227355,7.90930341227355,7.90930341227355,7.90930341227355
IWT0092012250627,11.8749180178443,11.8749180178443,11.8749180178443,11.8749180178443,11.8749180178443,11.8749180178443,11.8749180178443,11.8749180178443,11.8749180178443,11.8749180178443,11.8749180178443,18.943638361906,18.943638361906,18.943638361906,18.943638361906,18.943638361906,18.943638361906,18.943638361906,18.943638361906,18.943638361906
IWT0092012260632,2.01458117502191,2.02970680507445,2.02970680507445,2.02970680507445,2.02970680507445,2.02970680507445,2.02970680507445,2.4320146335463,2.4320146335463,3.46693185956138,8.34747013371512,8.34747013371512,8.34747013371512,8.34747013371512,8.34747013371512,8.34747013371512,8.34747013371512,8.34747013371512,8.34747013371512,8.34747013371512
