FileName,real_caa_total_1,real_caa_total_2,real_caa_total_3,real_caa_total_4,real_caa_total_5,real_caa_total_6,real_caa_total_7,real_caa_total_8,real_caa_total_9,real_caa_total_10,real_caa_total_11,real_caa_total_12,real_caa_total_13,real_caa_total_14,real_caa_total_15,real_caa_total_16,real_caa_total_17,real_caa_total_18,real_caa_total_19,real_caa_total_20
IBR0071907290035,0.846020134893986,1.70805937831828,2.57997525835606,3.36783658689832,4.22342066092239,5.09541352798849,6.04539349690471,6.95277023424865,8.06632519018099,10.8004904456292,14.1207625120459,16.9104741124133,18.9961177890247,20.9052768898857,22.5292483731557,23.727973279246,24.722024145327,25.5935195341851,26.519261445297,27.3282727751854
IBR0071909300102,1.91915269037992,3.46656389748101,4.93166665687104,6.70952675935758,8.87388993052401,11.3036076603447,24.033855027149,32.8782789102093,39.3012131903547,45.2798297600467,49.6544448512482,53.909945568799,57.8593671121743,61.5204423969548,64.5808959320805,67.9157243737857,70.8574282419251,73.4908960717812,75.5332879424102,77.3129990731406
IBR0071911081818,5.16809260623671,8.25433010976478,10.6303622174245,13.3429911272865,15.8189297570549,18.4618158111164,26.9091250774348,35.9779077989431,42.7058530888265,47.9757171299788,52.4054762708768,56.6230767191645,61.1411572598285,65.2341728699412,68.7933723719524,72.0512620348401,75.3232162790477,78.3554227881603,80.9458340091212,83.3769940642563
IBR0071912031018,2.28273703418719,4.42124270460943,5.99615498017171,7.26222162563689,8.48508211402272,9.9723602830923,11.2691524517874,12.7170643461322,13.9722706885606,15.7198148044676,19.8073423215651,23.1919345483815,26.1900468935517,29.0746113483447,31.6536613339173,34.3660253787127,36.4463542973684,39.2638339744308,41.4153157935859,44.0362796054837
IBR0071912041038,2.28682302169033,5.03472047017613,8.64945085282413,12.057760980233,16.412456727025,20.2659458139438,27.7302687883422,55.4284847844646,81.1166593368584,102.970973704813,132.334180068247,156.973914690885,169.184925195865,179.422041599123,188.023595234975,194.087616063017,200.288275021141,204.488811117189,208.68629751341,212.236757446272
IBR0071912041813,0.500956116273116,1.01214839353578,1.39623810330286,1.71467606701367,2.07605528628394,2.42809360332865,3.06220602200624,3.80670420316934,4.59148120511709,6.27102426991378,11.1581222647436,14.2373417659583,16.481178284789,18.1001448698943,19.6243840584401,20.8318388699916,21.7127516747742,22.639973097057,23.3861993855839,24.0966754168536
IBR0071912190923,6.00231739032139,10.6425408670065,13.529214555355,15.8423199877663,17.8182653718344,19.9287812645621,21.7334428461107,23.6727516857241,26.2752573678391,36.6497156930755,49.3283624060026,58.0967394997583,66.1265450397776,72.7297188016449,76.3459025969908,78.7741316570166,81.9191175622014,83.8859790132097,85.4907360071765,86.5975131462694
IBR0072001030324,0.848182241200644,5.0759766559729,9.50566562422526,14.0789723383482,17.5714759575225,20.5211707415224,24.3599568178489,27.5428817920828,30.9530258836346,36.2450467838903,40.9719757966433,47.2849444304509,61.9732672293848,79.3724544045853,90.696952198521,100.484292718257,108.008693630024,115.907124762745,123.610002875345,129.786577224608
IBR0072001140453,2.3447125485842,4.74896503660678,6.47688679297369,8.18675697674128,9.71080279635269,11.7393609968569,13.9232257246252,16.096009902609,18.7970637296261,29.5820084628991,40.0345878108536,46.367878517813,53.193168691118,58.7774499237902,63.7859367795233,67.5142407186395,72.3065024441241,76.1492980313635,79.6019861136455,82.5782325557175
IBR0072001141325,5.66234631304366,11.2989188108246,15.0958749693468,18.3704716409545,21.981629178266,25.5111923064231,29.8023730097347,43.3163711346025,56.7973879767526,66.3609442828098,72.5211984032788,78.976120482375,85.8768413467214,89.8932265556693,93.5620020590396,96.9067456356401,99.9031277149045,102.358688925037,104.964485316217,107.325458342739
IBR0072001211918,6.17229436994518,9.53508476147747,12.5803695115773,15.5213651567216,19.3992963538137,30.4322636465603,56.9995315341566,70.1579763392338,80.0772141201515,88.4645014907647,94.5672701369548,99.4685983006412,104.175326253309,107.375555863498,110.434032893772,113.332772930818,116.014629646213,118.17935249419,120.180022675643,122.160578221423
IBR0072002010207,1.50719463858985,4.52191700254994,7.6570404487255,11.3700220020588,14.7913661386956,18.0965871109719,22.0626880938092,25.7511304791827,30.104108569266,35.8496605226522,46.8187004504224,58.3960123302113,67.2947391437817,74.8008922200535,82.8634279087773,89.1865601853926,96.1070810593633,102.099385380508,108.699061199076,113.589289014615
IBR0072002062019,0.420190513896595,1.17879201544224,2.60472746326943,4.1684965559354,5.70956618922978,7.06044744072504,8.61835726824734,9.93069512971238,11.7927688764175,13.4098217593058,15.2067389063194,16.9610499632439,18.8957218337941,20.9087769570798,23.4300379348649,26.486065552467,30.8583367696579,35.4651769062421,39.4389179987716,42.9130323533311
IBR0072002121937,0.832520583630122,3.06077540368119,4.72761679848491,6.34995207851403,8.11982870865083,9.69110093984215,12.0868549044019,14.1641258027323,16.3373730960301,18.5088351283605,20.8731110921403,23.5168796061026,26.2186739638093,29.1155201527847,32.3081846904677,38.9267265473753,53.3894723741484,64.3979774574211,75.5741314832696,86.2175423470624
IBR0072002232112,0.236062614962193,0.452167919086726,1.12295186924548,2.23050660221347,3.02825520166358,4.45607563360936,5.38219956193548,6.10591649665738,6.70287325198782,7.26095646462176,8.25045575771927,10.9592522230817,12.9469804939436,14.6002253938331,15.8879445499522,16.9579528545081,17.7919472718612,18.4230628935454,19.2186872950383,19.8341279144767
IBR0072003312024,1.71080793061141,4.32825444729432,6.34687532616992,8.78734196645539,10.9367752653992,13.1043269377271,17.4988240714211,25.6630515096961,33.1123817826083,40.0136442342814,45.3191334027883,49.24111378875,53.8285915829983,57.596072778301,61.0710367943918,64.4329309634479,67.4971505725045,69.7903415609942,73.0033688038318,75.2360594594693
IBR0072004100045,0.626796423683144,1.65408928602253,2.385145389466,2.92510666942422,3.66723235784995,4.54220319668656,5.52882911687738,10.6144741967061,14.1433407232452,16.2906383943689,17.9994936615764,19.3918490336902,20.5594527900502,21.4191457800312,22.2854369978207,22.9974673830567,23.6499489527673,24.1560946845003,24.6896820432574,25.1267823604407
IBR0072004120044,6.69582682059609,13.4481657697031,18.2507001608848,22.8674407503735,28.6489934190318,36.0277633046781,42.9725090291935,49.0208885388074,65.0104514481143,96.3839926573215,117.240355523131,137.109344547575,151.473505507024,164.277404230495,172.566921191572,181.355957955884,190.593505861982,197.297024517575,202.131616859608,206.514138632225
