FileName,real_iv2_UD_1,real_iv2_UD_2,real_iv2_UD_3,real_iv2_UD_4,real_iv2_UD_5,real_iv2_UD_6,real_iv2_UD_7,real_iv2_UD_8,real_iv2_UD_9,real_iv2_UD_10,real_iv2_UD_11,real_iv2_UD_12,real_iv2_UD_13,real_iv2_UD_14,real_iv2_UD_15,real_iv2_UD_16,real_iv2_UD_17,real_iv2_UD_18,real_iv2_UD_19,real_iv2_UD_20
AIC0011903090108,0.00470591849767668,0.00630130225471774,0.00729506746503082,0.007877571114385,0.00951113235470781,0.0153536126245882,0.0191881598585853,0.0219230032727583,0.0253669574519858,0.0274522700522383,0.0308656735141684,0.0319744029824241,0.0326137858711383,0.034635501943541,0.0353171886664725,0.0358459590401727,0.0362778645912113,0.0367251405710701,0.0370619714806721,0.0373479404103014
AIC0012009271313,0.00230452945470702,0.0029416963314988,0.00355114748050558,0.00386529809654597,0.00406385986850893,0.0044746694440715,0.00470540707191352,0.00479301990251284,0.00496168253842413,0.00511876954228004,0.00541848380856009,0.00655196528603089,0.0167286608021224,0.0176662132647187,0.0207763199575654,0.0233446263295129,0.0240080069615616,0.0259219043770027,0.0284305098541831,0.0309869073614557
AIC0012010190328,0.00170754092340256,0.00214145653639728,0.0024568960866397,0.00262108080578602,0.00294663204390672,0.00423061478904874,0.00504894843217383,0.00536939719122935,0.0057234866104795,0.00598553110198514,0.00612242169334911,0.00630315687243145,0.00645046432927684,0.00678604532346271,0.00705982365371426,0.00712637665409386,0.00721200875883656,0.00726693210514861,0.007310213703541,0.00739229041560716
AIC0021903090108,0.0010849308239828,0.00154915044275449,0.00178138364851199,0.00211615859728254,0.00264002365461236,0.00669109253799754,0.00945196762496358,0.0101784680666568,0.0106070036830926,0.010878466620499,0.0110612329484975,0.0111787768296135,0.011303478185107,0.011369802397168,0.0114021300625158,0.0114419051743693,0.0114979600919903,0.0115227086889697,0.0115393741865497,0.0115638166896213
AIC0022009271313,0.00304339514581091,0.0035944729823762,0.0038568282131434,0.00397264407695684,0.00406957706009731,0.00419047907241261,0.00434781627618091,0.00441054319982545,0.00446980683444242,0.00452295856926381,0.00760074511137656,0.0340642795089521,0.044332734752481,0.0460658812824207,0.0469171904702214,0.0479142303576429,0.0481873661367799,0.0485091329265391,0.0486402192399662,0.0492948120481598
AIC0031903090108,0.00027463557076616,0.000556105925809594,0.000813046516233007,0.000971952879905718,0.00114698679599743,0.00551454239482979,0.00666627928488432,0.00771890375096587,0.00907479101415825,0.0111069537875231,0.012864743284708,0.0140332358076299,0.0147268835736424,0.0152088676099165,0.0153919524411383,0.0161803500861851,0.0169239964107364,0.0171783964911788,0.0177889749835345,0.0185113326574911
AIC0032006171503,0.000145907155700035,0.000251318971763475,0.000317767986543927,0.00143955111701499,0.00209723926376433,0.00266643640996277,0.00324258749566928,0.00378206654478341,0.00474716114095793,0.00514942143530665,0.00563231293203898,0.00599867078731161,0.00625812929399504,0.00659462976745278,0.00713038363565076,0.00748801716557789,0.00789317980964845,0.00808082881310475,0.00821284925852449,0.00841548108075602
AIC0032010190328,0.000244313891346568,0.000448551265395234,0.000524096058299007,0.000599972695366222,0.00215006444436914,0.00438578267617836,0.0065605873457447,0.00755152423806721,0.00814723168474204,0.00878129720629582,0.00913129951925055,0.00940904067689004,0.00963272436522275,0.00999951754007179,0.0101606547641238,0.0102476356412805,0.0103871075527173,0.0104409046276933,0.010503985388303,0.0105519759719721
AIC0041903090108,0.00196597055858494,0.00398117815812283,0.00544849732121728,0.00614016857495376,0.00651868923863428,0.00688227389922054,0.00803257521887966,0.0274781199548729,0.0494252594592543,0.0585369390220896,0.0661125812972467,0.0704732971936914,0.0738277787796377,0.0768191810127822,0.0779367429394079,0.0797563908403391,0.0803028894114409,0.0811594633236855,0.0826156573989312,0.0832512089120819
AIC0042009271313,0.00271365287901615,0.00432971711740976,0.00516953894877958,0.00615693191764789,0.00688560570117804,0.00826794713940744,0.00874527389245436,0.00967871584394302,0.0101563662768717,0.0116674401669276,0.0157503857441563,0.0177808064398806,0.0210301756439249,0.0234789787042229,0.0250759544949527,0.0262870581171288,0.0279797015031958,0.029437921717918,0.0306074262907117,0.0325551386482776
