FileName,real_cav_total_1,real_cav_total_2,real_cav_total_3,real_cav_total_4,real_cav_total_5,real_cav_total_6,real_cav_total_7,real_cav_total_8,real_cav_total_9,real_cav_total_10,real_cav_total_11,real_cav_total_12,real_cav_total_13,real_cav_total_14,real_cav_total_15,real_cav_total_16,real_cav_total_17,real_cav_total_18,real_cav_total_19,real_cav_total_20
SIT0011912031018,0.0257659768100618,0.0395529646776179,0.0575141282675065,0.0721758332567284,0.0906993420012889,0.10839666420586,0.131021223735001,0.15779467451365,0.200409392654312,0.364119199195495,0.487476432208029,0.561435362463492,0.631904604528931,0.73068388745808,0.82630686004786,0.927862320523013,1.02271804943605,1.11079825188999,1.21878288762607,1.33135317619257
SIT0012001140453,0.0284037160452547,0.0418841513898919,0.0560002289414621,0.0713474958360022,0.0855030344565631,0.0997154477437834,0.115591188884694,0.129565141022911,0.147184802938844,0.225222959950961,0.381822025663898,0.446274927657159,0.521088515941011,0.595386523331402,0.707042568020907,0.788327318704129,0.893673899937611,0.976461437097136,1.04413986612637,1.11312896875944
SIT0012002010207,0.0272052359417979,0.0557833872184816,0.0741816257755687,0.10049834110361,0.124420974576065,0.145261654631062,0.171071972844733,0.189096287534519,0.21558388842136,0.235910637496733,0.258635608190552,0.288523059681785,0.436475682269149,0.535854259756906,0.619159514992559,0.713368738967605,0.806691679982172,0.888380884120483,0.955092526219612,1.02941058662149
SIT0012004120044,0.0128213636456856,0.0205484718281289,0.0274400490598985,0.0386570213935234,0.0512234035263736,0.064434505663398,0.0781408207039964,0.0999328620425183,0.122786217617769,0.141554708726701,0.270623127853094,0.332384523798299,0.392879096317546,0.455392650441836,0.527602837403217,0.609481127810153,0.686432404577506,0.781231045103465,0.844341501126222,0.942965132211283
SIT0012007090605,0.0543294276389899,0.0792657505187173,0.0993437445798399,0.115072435489813,0.131392346853866,0.145787666604882,0.163199527903929,0.178771443021448,0.216494610805865,0.433596220488817,0.556536797965924,0.639559487258891,0.744083026216267,0.848967206928704,0.939787275287479,0.995710977856804,1.05980817754071,1.12079297064885,1.1728448861376,1.21980154575329
SIT0012103160456,0.0105650579406524,0.0234399042903518,0.033858046743593,0.0504289567661133,0.0607069714807297,0.0735114416352987,0.0855093981338834,0.0974264957318857,0.111764092160055,0.151820993491216,0.214506510710577,0.259380436093716,0.293639239090301,0.33519255889689,0.383292626252117,0.421045120369472,0.466679482557232,0.524977056807442,0.569768095715358,0.61812492602422
SIT0021901141323,0.0178969666931118,0.0332243595341889,0.0553549738656749,0.0793949807180269,0.104416567880492,0.139962599798232,0.181888459387126,0.228672344086688,0.604021365610435,0.755669316814407,0.887674559367051,1.00869492942035,1.13717503797188,1.29210168049536,1.41690055543463,1.54668565572725,1.67490202516995,1.79511893251471,1.88594564139577,2.02509922333519
SIT0021911220523,0.0220658084200312,0.0389151967906471,0.0540289583466119,0.0679535624598766,0.0850670084830389,0.100794576646905,0.124623490842629,0.150182451430895,0.37033047897279,0.474585507465888,0.555988579845478,0.622624250007214,0.688912985857544,0.791161096193065,0.893187132972429,0.957680302900804,1.02305868419388,1.06892997314415,1.11699332996875,1.17072954541539
SIT0021912031018,0.0279091327297103,0.0478353915127447,0.0716682638324287,0.09658224163914,0.125079799865498,0.159561112901513,0.219162329353606,0.272179866555612,0.788291752814153,1.04769850492469,1.240900771246,1.40465920142168,1.5294882930914,1.67399166026726,1.80503608991095,1.97218657145023,2.09403880948057,2.2024278430216,2.28286266737335,2.36336697769981
SIT0021912041935,0.0178658210338068,0.0414058229896578,0.0619363112240137,0.0788844915523237,0.0955107038802265,0.112909944053709,0.125765284770121,0.14922552383966,0.16555055867561,0.17948732271409,0.19188506828627,0.212011068520567,0.318342847776133,0.436986779632738,0.554365613370462,0.637616353703837,0.72774567175365,0.785037554049074,0.834266724743118,0.887703179906573
SIT0022001140453,0.0397200987316501,0.0685642004539406,0.0976637553599654,0.128583918519392,0.157496173615846,0.183787543331326,0.228229708738256,0.276985536762692,0.683417834597316,0.896261063375426,1.06295140904461,1.20563910655346,1.33586687449794,1.54806283177795,1.74973419260489,1.91312774787762,2.02915731940619,2.12609580573291,2.22092411607564,2.31391908390029
SIT0022002010207,0.0360526471087742,0.070464048206587,0.103874340153482,0.14675335371662,0.206796335814509,0.260605697865812,0.307178167089545,0.362130540951334,0.427707483403999,0.480056782314219,0.557895066129018,0.725975891445424,0.905154588203928,1.03076654592386,1.14736691368515,1.23755947066692,1.38766699581721,1.48179326310356,1.65110385503569,1.87201430439869
SIT0022004120044,0.013265095651836,0.0321938456750005,0.0464421622886529,0.0640420414562015,0.0873514071286506,0.111246646660535,0.146931963270031,0.198312199553267,0.257834509994156,0.70328746059746,0.879917212266566,1.08173553166135,1.25412398947902,1.37137370456096,1.51699215468666,1.69025352714629,1.84976282482021,1.99232301221874,2.11529393098028,2.20876018395035
SIT0022004260949,0.0807401345698719,0.128919645139632,0.174751109452944,0.203363652233166,0.231454155414617,0.264542176167945,0.291348209882694,0.318131146502424,0.341813623867528,0.400270735033809,0.501064500237016,1.12484971985913,1.41696865554989,1.64158243971915,1.77050766114187,1.91957704475789,2.07110321834104,2.20924026493574,2.33613857880526,2.42511437578956
SIT0022006010602,0.0312634455426278,0.0534059953879086,0.0710027631400708,0.0926569787535074,0.118608543160459,0.151863283033813,0.177461781540936,0.209968575280833,0.240422009734742,0.269722095297698,0.298577803062661,0.34245079063325,0.390628755035774,0.451011638651371,0.793440339043584,1.08654123139815,1.37721533063731,1.60376968645085,1.79991653353223,1.98152214223052
SIT0022007090605,0.0322672774998118,0.0526885015069599,0.0931507258128447,0.122252963519331,0.150782813718932,0.188690954549945,0.287092360100072,0.408006582653729,1.15699552542809,1.37453473818388,1.55179187016405,1.693839957915,1.84297545312552,2.03011951208103,2.18306632298613,2.30240457090198,2.41593751524899,2.5289348148892,2.59843968734285,2.71115299312491
SIT0022008301437,0.0245066973687705,0.0423359336411101,0.0591588343619522,0.0751916066887391,0.0932501757706677,0.112506609472267,0.129515837451715,0.151180972870029,0.241369553253698,0.318876577832351,0.380691511129709,0.436254843351869,0.476179750357318,0.517079348417661,0.568643507501172,0.601357458829227,0.638324900044036,0.689801371284993,0.729495324866488,0.761016821504438
